[STRING]
String = 12000,建物名
String = 14008,強弩兵
String = 14009,輕騎兵
String = 14010,重騎兵
String = 14011,蠻兵
String = 14012,籐甲兵
String = 14013,女兵
String = 14014,近衛兵
String = 14015,猛獸兵
String = 14016,象兵
String = 14017,忍者
String = 14018,隱忍
String = 14019,弩車
String = 14020,投石車
String = 14021,黃巾兵
String = 14022,黃巾長
String = 14023,匈奴兵
String = 14024,游騎兵
String = 14025,浪人
String = 14026,武士
String = 14027,屍兵
String = 14028,木人
String = 14029,鐵人
String = 14030,玄武
String = 14031,朱雀
String = 14032,白虎
String = 14033,青龍
String = 14034,麒麟
String = 14035,屍鬼
String = 14036,炎獸
String = 14037,井闌
String = 14038,轒轀車
String = 14039,符兵
String = 14040,鐵獸
String = 14041,箭樓
String = 14042,銅人
String = 14043,元戒神弩
String = 14044,奧汀火輪衝
String = 14045,奧汀大將軍
String = 14046,石牆
String = 14047,拒馬
String = 14048,鐵盾
String = 14049,龍牙車
String = 14050,屍兵
String = 14051,預備3
String = 14052,預備4
String = 14053,預備5
String = 14054,預備6
String = 14055,預備7
String = 14056,預備8
String = 14057,預備9
String = 14058,預備10
String = 14059,預備6
String = 14060,預備7
String = 14061,預備8
String = 14062,預備9
String = 14063,預備10
String = 16000,物品名稱
String = 16001,木銅鈴
String = 16002,屍兵符印
String = 16003,祕忍捲軸
String = 16004,將軍印盒
String = 16005,匈奴號角
String = 16006,黃巾兵符
String = 16007,投石兵符
String = 16008,弩車兵符
String = 16009,獸兵兵符
String = 16010,女兵兵符
String = 16011,蠻兵兵符
String = 16012,騎兵兵符
String = 16013,弩兵兵符
String = 16014,槍兵兵符
String = 16015,弓兵兵符
String = 16016,步兵兵符
String = 16017,箭矢陣法書
String = 16018,天地陣法書
String = 16019,翔鷹陣法書
String = 16020,雁形陣法書
String = 16021,錐形陣法書
String = 16022,鉤形陣法書
String = 16023,圓形陣法書
String = 16024,方形陣法書
String = 16025,珠寶
String = 16026,黃金
String = 16027,美女
String = 16028,玉器
String = 16029,綢緞
String = 16030,布匹
String = 16031,靈山妙藥
String = 16032,九牛二虎丸
String = 16033,雪山靈芝
String = 16034,靈芝
String = 16035,長白人參
String = 16036,人參
String = 16037,莫邪
String = 16038,干將
String = 16039,草薙
String = 16040,巨闕劍
String = 16041,虎牙劍
String = 16042,倚天劍
String = 16043,七星刀
String = 16044,破山劍
String = 16045,青釭劍
String = 16046,村正
String = 16047,古錠刀
String = 16048,雙股劍
String = 16049,倭刀
String = 16050,龍淵劍
String = 16051,弧月刀
String = 16052,連環刀
String = 16053,蠻刀
String = 16054,苗刀
String = 16055,寬刃劍
String = 16056,吳鉤
String = 16057,短刀
String = 16058,桃木劍
String = 16059,青銅劍
String = 16060,朴刀
String = 16061,直劍
String = 16062,朱雀扇
String = 16063,火焰扇
String = 16064,鵬羽扇
String = 16065,鶴羽扇
String = 16066,蒼羽扇
String = 16067,青羽扇
String = 16068,鐵骨折扇
String = 16069,白絹折扇
String = 16070,白羽扇
String = 16071,青龍偃月刀
String = 16072,春秋大刀
String = 16073,天罡斧
String = 16074,西域鐮刀
String = 16075,鐵蒺藜骨朵
String = 16076,雲月刀
String = 16077,兩刃斧
String = 16078,二郎刀
String = 16079,三尖刀
String = 16080,雙鐵鉤
String = 16081,青銅鞭
String = 16082,狼牙棒
String = 16083,掩月刀
String = 16084,月牙鏟
String = 16085,鳳綾鎚
String = 16086,流星鎚
String = 16087,鉤鐮刀
String = 16088,鳳嘴刀
String = 16089,碎鎚
String = 16090,大斧
String = 16091,屈刀
String = 16092,眉尖刀
String = 16093,銅長刀
String = 16094,方天畫戟
String = 16095,丈八蛇矛
String = 16096,青天鉤鐮槍
String = 16097,龍髓槍
String = 16098,龍膽槍
String = 16099,紫龍戟
String = 16100,鐵脊蛇矛
String = 16101,蛇矛
String = 16102,長鎩
String = 16103,鐵鉞戟
String = 16104,十字槍
String = 16105,斧刃槍
String = 16106,鉤鎌槍
String = 16107,九鳳钂
String = 16108,拐突槍
String = 16109,月牙戟
String = 16110,龍刀槍
String = 16111,九曲戟
String = 16112,雙叉矛
String = 16113,三叉戟
String = 16114,兩刃叉
String = 16115,紅櫻槍
String = 16116,馬叉
String = 16117,尖槍
String = 16118,銅殳
String = 16119,鋼矛
String = 16120,短錐槍
String = 16121,奧汀廣告牌
String = 16122,神鳶弓
String = 16123,迅雷弓
String = 16124,神臂弓
String = 16125,破邪弓
String = 16126,鋼弓
String = 16127,穿雲弓
String = 16128,長弓
String = 16129,短弓
String = 16130,仙人法杖1
String = 16131,仙人法杖2
String = 16132,白玉麒麟
String = 16133,天馬
String = 16134,龍馬
String = 16135,四不像
String = 16136,窮奇
String = 16137,赤兔馬
String = 16138,捲毛赤兔馬
String = 16139,爪黃飛電
String = 16140,松風
String = 16141,燎原火
String = 16142,的盧
String = 16143,印度白象
String = 16144,印度神象
String = 16145,青牛
String = 16146,鐵騎馬
String = 16147,戰虎
String = 16148,汗血馬
String = 16149,大宛馬
String = 16150,白石
String = 16151,沙裡飛
String = 16152,赤毛牛
String = 16153,南蠻象
String = 16154,黑鬃馬
String = 16155,褐鬃馬
String = 16156,黃鬃馬
String = 16157,輕騎兵馬
String = 16158,重騎兵馬
String = 16159,猛獸兵
String = 16160,象兵
String = 16161,匈奴兵
String = 16162,鐵騎兵
String = 16163,遁甲天書
String = 16164,太平要術
String = 16165,青囊書
String = 16166,西蜀地形圖
String = 16167,幻世錄Ⅱ
String = 16168,幻世錄
String = 16169,兵書24篇
String = 16170,孟德新書
String = 16171,史記
String = 16172,春秋左傳
String = 16173,赤焰術訣
String = 16174,赤焰秘法書
String = 16175,連弩兵法
String = 16176,連弩秘訣書
String = 16177,火箭兵法
String = 16178,火箭秘訣書
String = 16179,龍砲兵法
String = 16180,龍砲秘訣書
String = 16181,炬石兵法
String = 16182,炬石秘訣書
String = 16183,火輪兵法
String = 16184,火輪秘訣書
String = 16185,滾石兵法
String = 16186,滾石秘訣書
String = 16187,地泉術訣
String = 16188,地泉秘法書
String = 16189,地茅兵法
String = 16190,地茅秘訣書
String = 16191,突石術訣
String = 16192,突石秘法書
String = 16193,火藥袋
String = 16194,火藥桶
String = 16195,烈火符
String = 16196,爆炎符
String = 16197,太極印
String = 16198,太極符印
String = 16199,八卦術訣
String = 16200,八卦秘法書
String = 16201,雷擊術訣
String = 16202,雷擊秘法書
String = 16203,五雷術訣
String = 16204,狂雷秘法書
String = 16205,伏兵兵法
String = 16206,伏兵秘訣書
String = 16207,後伏兵法
String = 16208,後伏秘訣書
String = 16209,轒轀兵法
String = 16210,轒轀秘訣書
String = 16211,旋燈術訣
String = 16212,旋燈秘法書
String = 16213,蓮華術訣
String = 16214,蓮華秘法書
String = 16215,旋風術訣
String = 16216,龍捲秘法書
String = 16217,突擊戰鼓
String = 16218,背水戰鼓
String = 16219,火牛兵法
String = 16220,火牛秘訣書
String = 16221,衝車
String = 16222,攻城戰車
String = 16223,召鬼石
String = 16224,喚魂法珠
String = 16225,炎獸像
String = 16226,噴火龍車
String = 16227,驅豹兵法
String = 16228,驅豹秘訣書
String = 16229,神鳶兵法
String = 16230,神鳶秘訣書
String = 16231,井闌
String = 16232,攻城塔
String = 16233,時空寶珠
String = 16234,黃泉玉
String = 16235,冥府寶珠
String = 16236,命療石
String = 16237,活療寶珠
String = 16238,回天石
String = 16239,活天寶珠
String = 16240,天靈鏡
String = 16241,地靈鏡
String = 16242,東嶽之土
String = 16243,浮雷術訣
String = 16244,浮雷秘法書
String = 16245,惡鬼盾
String = 16246,鬼王盾
String = 16247,麒麟金角
String = 16248,青龍逆鱗
String = 16249,玄武靈殼
String = 16250,白虎銀牙
String = 16251,朱雀炎羽
String = 16252,人形紙符
String = 16253,人皮傀儡
String = 16254,土遁捲軸
String = 16255,暗殺捲軸
String = 16256,雷火捲軸
String = 16257,赤鬼捲軸
String = 16258,苦無捲軸
String = 16259,風魔捲軸
String = 16260,木遁捲軸
String = 16261,空蟬捲軸
String = 16262,血劍訣
String = 16263,血劍祕錄
String = 16264,天劍訣
String = 16265,天劍祕錄
String = 16266,地龍珠
String = 16267,地龍旗
String = 16268,火龍珠
String = 16269,火龍旗
String = 16270,水龍珠
String = 16271,水龍旗
String = 16272,風龍珠
String = 16273,風龍旗
String = 16274,龍牙機關
String = 16275,龍牙解構圖
String = 16276,走為上策
String = 16277,太陽幡
String = 16278,太陰幡
String = 16279,雷雨幡
String = 16280,飛雪幡
String = 16281,煉氣爐
String = 16282,化氣爐
String = 16283,先攻要訣
String = 16284,先攻戰術
String = 16285,天時戰術
String = 16286,地利戰術
String = 16287,人和戰術
String = 16288,擾敵之術
String = 16289,解勞之術
String = 16290,御賜戰鼓
String = 16291,毒舌心得
String = 16292,海螺號角
String = 16293,楚歌曲譜
String = 16294,破甲要訣
String = 16295,防禦要訣
String = 16296,障礙要訣
String = 16297,行軍要訣
String = 16298,暴君之首
String = 16299,蚩尤之首
String = 16300,霸王之首
String = 16301,傳國玉璽
String = 16302,斷路要訣
String = 16303,撤退要訣
String = 16304,鹿角要訣
String = 16305,鹿角戰術
String = 16306,鹿角秘典
String = 16307,地雷要訣
String = 16308,地雷戰術
String = 16309,地雷秘典
String = 16310,地釘忍法帖
String = 16311,地釘秘忍書
String = 16312,地釘裏奧義
String = 16313,埋伏戰術
String = 16314,埋伏秘典
String = 16315,援軍戰術
String = 16316,援軍秘典
String = 16317,喚屍符
String = 16318,喚屍令
String = 16319,封技戰術
String = 16320,封技秘典
String = 16321,饕餮之牙
String = 16322,饕餮之骨
String = 16323,饕餮之角
String = 16324,太平要術
String = 16325,太平青領道
String = 16326,遁甲天書
String = 16327,甩手短箭
String = 16328,經驗寶珠
String = 16329,策反要訣
String = 16330,撫軍要訣
String = 16331,石牆圖卷
String = 16332,拒馬圖卷
String = 16333,鐵盾圖卷
String = 16334,破陣要訣
String = 16335,回春石
String = 16336,回春晶石
String = 16337,氣療珠
String = 16338,氣療寶珠
String = 16339,氣療金珠
String = 16340,通天鏡
String = 16341,蔽天帆
String = 16342,無我明鏡
String = 16343,無極乾坤圖
String = 16344,勸降戰術
String = 16345,威脅戰術
String = 16346,鐵獸機關
String = 16347,鐵獸結構圖
String = 16348,箭樓機關
String = 16349,箭樓結構圖
String = 16350,銅人機關
String = 16351,銅人結構圖
String = 16352,前鋒拆解書
String = 16353,木牛
String = 16354,流馬
String = 16355,樓船
String = 16356,蒙衝船
String = 16357,行軍天書
String = 16358,治軍寶典
String = 16359,六韜兵書
String = 16360,八寶靈燈
String = 16361,止水明鏡
String = 16362,甘露寶瓶
String = 16363,真龍玄印
String = 16364,九錫寶器
String = 16365,一品紫金冠
String = 16366,奧汀祕術
String = 16367,真奧汀祕術
String = 16368,雲01
String = 16369,雲02
String = 16370,雲03
String = 16371,北斗天漿
String = 16372,玉屑金丹
String = 16373,薤葉芸香
String = 16374,瓊漿玉液
String = 16375,金珠
String = 16376,無暇玉壁
String = 16377,龍紋白玉
String = 16378,四靈寶鏡
String = 16379,銀巨劍
String = 16380,黑巨劍
String = 16381,金巨劍
String = 16382,幼麒麟
String = 16383,預備16
String = 16384,預備17
String = 16385,預備18
String = 16386,預備19
String = 16387,預備20
String = 16388,預備21
String = 16389,預備22
String = 16390,預備23
String = 16391,預備24
String = 16392,預備25
String = 16393,預備26
String = 16394,預備27
String = 16395,預備28
String = 16396,預備29
String = 16397,預備30
String = 16398,預備31
String = 16399,預備32
String = 16400,預備33
String = 16401,預備34
String = 16402,預備35
String = 16403,預備36
String = 16404,預備37
String = 16405,預備38
String = 16406,預備39
String = 16407,預備40
String = 16408,預備41
String = 16409,預備42
String = 16410,預備43
String = 16411,預備44
String = 16412,預備45
String = 16413,預備46
String = 16414,預備47
String = 16415,預備48
String = 16416,預備49
String = 16417,預備50
String = 18000,官職
String = 18001,侍郎
String = 18002,校尉
String = 18003,長史
String = 18004,黃門令
String = 18005,虎烈將軍
String = 18006,虎威將軍
String = 18007,議郎
String = 18008,昭義將軍
String = 18009,昭武將軍
String = 18010,伏波將軍
String = 18011,建武將軍
String = 18012,郎中
String = 18013,太倉令
String = 18014,諫議大夫
String = 18015,昭文將軍
String = 18016,昭德將軍
String = 18017,橫江將軍
String = 18018,橫野將軍
String = 18019,裨將軍
String = 18020,虎翼將軍
String = 18021,博士
String = 18022,太使大夫
String = 18023,文遠將軍
String = 18024,秉中將軍
String = 18025,侍御史
String = 18026,折衝將軍
String = 18027,揚武將軍
String = 18028,偏將軍
String = 18029,鷹揚將軍
String = 18030,羽林監
String = 18031,符節令
String = 18032,太史令
String = 18033,建文將軍
String = 18034,建威將軍
String = 18035,治書執法
String = 18036,振武將軍
String = 18037,振威將軍
String = 18038,揚威將軍
String = 18039,威虜將軍
String = 18040,平狄將軍
String = 18041,中常侍
String = 18042,黃門郎
String = 18043,安遠將軍
String = 18044,散騎侍郎
String = 18045,武衛將軍
String = 18046,武威將軍
String = 18047,牙門將軍
String = 18048,綏遠將軍
String = 18049,威遠將軍
String = 18050,平虜將軍
String = 18051,蕩寇將軍
String = 18052,御史中丞
String = 18053,護軍將軍
String = 18054,鎮軍將軍
String = 18055,平北將軍
String = 18056,平西將軍
String = 18057,平南將軍
String = 18058,平東將軍
String = 18059,征虜將軍
String = 18060,討逆將軍
String = 18061,侍中
String = 18062,撫軍將軍
String = 18063,安國將軍
String = 18064,散騎常侍
String = 18065,奮武將軍
String = 18066,安北將軍
String = 18067,安西將軍
String = 18068,安南將軍
String = 18069,安東將軍
String = 18070,破虜將軍
String = 18071,尚書令
String = 18072,大司農
String = 18073,輔國將軍
String = 18074,奮威將軍
String = 18075,鎮北將軍
String = 18076,鎮西將軍
String = 18077,鎮南將軍
String = 18078,鎮東將軍
String = 18079,龍驤將軍
String = 18080,司空
String = 18081,大司馬
String = 18082,軍師將軍
String = 18083,征北將軍
String = 18084,征西將軍
String = 18085,征南將軍
String = 18086,征東將軍
String = 18087,翊軍將軍
String = 18088,太傅
String = 18089,太尉
String = 18090,右將軍
String = 18091,左將軍
String = 18092,後將軍
String = 18093,前將軍
String = 18094,司徒
String = 18095,衛將軍
String = 18096,驃騎將軍
String = 18097,車騎將軍
String = 18098,丞相
String = 18099,大將軍
String = 18100,漢中王  
String = 18101,漢壽亭侯
String = 18102,西鄉侯
String = 18103,魏王
String = 18104,順平侯
String = 18105,臥龍左丞
String = 18106,鳳雛右丞
String = 18107,關內侯
String = 18108,飛將
String = 18109,威侯
String = 18110,桓王
String = 18111,吳王
String = 18112,禍國太師
String = 18113,醫聖
String = 18114,陳王
String = 18115,南蠻霸王
String = 18116,火神娘娘
String = 18117,天公將軍
String = 18118,地公將軍
String = 18119,人公將軍
String = 18120,大都督
String = 18121,東吳娘娘
String = 18122,東吳郡主
String = 18123,東吳公主
String = 18124,臥龍夫人
String = 18125,絕代佳人
String = 18126,牟鄉侯
String = 18127,南鄭侯
String = 18128,錦帆大將
String = 18129,江陵侯
String = 18130,高安鄉侯
String = 18131,愍侯
String = 18132,陽平侯
String = 18133,晉陽侯
String = 18134,鄚侯
String = 18135,孱陵侯
String = 18136,敬侯
String = 18137,忠侯
String = 18138,孝侯
String = 18139,邪馬台女王
String = 18140,蜀漢昭烈帝
String = 18141,忠義武聖
String = 18142,武曲天將
String = 18143,魏武帝
String = 18144,白虎天將
String = 18145,武尊神侯
String = 18146,射日天將
String = 18147,貪狼天將
String = 18148,破軍天將
String = 18149,小霸王
String = 18150,東吳大帝
String = 18151,大賢良師
String = 18152,欽犯
String = 18153,亂黨
String = 18154,魔頭
String = 18155,大魔頭
String = 18156,鄉士
String = 18157,藩士
String = 18158,國士
String = 18159,參議
String = 18160,中納言
String = 18161,大納言
String = 18162,內大臣
String = 18163,太政大臣
String = 18164,關白攝政
String = 18165,貴族
String = 18166,族長
String = 18167,骨都侯
String = 18168,大當戶
String = 18169,大都尉
String = 18170,谷蠡王
String = 18171,南院大王
String = 18172,北院大王
String = 18173,單于
String = 18174,戰士
String = 18175,勇士
String = 18176,頭目
String = 18177,酋長
String = 18178,三洞主
String = 18179,二洞主
String = 18180,大洞主
String = 18181,國主
String = 18182,蠻王
String = 18183,傲世武尊
String = 18184,玄法天師
String = 18185,神威大將
String = 18186,群龍真主
String = 18187,蓋世霸王
String = 18188,五嶽戰神
String = 20000,軍師技
String = 20001,撥雲見日
String = 20002,天狗吞日
String = 20003,風雲變色
String = 20004,霜雪覆地
String = 20005,萬法自然
String = 20006,減緩集氣
String = 20007,加速集氣
String = 20008,後發先至
String = 20009,意發並進
String = 20010,發在意先
String = 20011,意發皆止
String = 20012,順應天時
String = 20013,逆轉天時
String = 20014,順應地利
String = 20015,逆轉地利
String = 20016,順應人和
String = 20017,逆轉人和
String = 20018,增敵疲勞
String = 20019,減我疲勞
String = 20020,減敵將攻
String = 20021,增我將攻
String = 20022,降敵士氣
String = 20023,鼓舞士氣
String = 20024,減敵軍攻
String = 20025,增我軍攻
String = 20026,減敵軍防
String = 20027,增我軍防
String = 20028,減敵軍速
String = 20029,增我軍速
String = 20030,詛咒
String = 20031,軍魂
String = 20032,大魔界
String = 20033,大天聖
String = 20034,無法退兵
String = 20035,預留退路
String = 20036,拒鹿角
String = 20037,拒鹿包圍
String = 20038,鹿角十重
String = 20039,鹿角截擊
String = 20040,鹿角攔路
String = 20041,探查拒鹿
String = 20042,地雷
String = 20043,地雷火
String = 20044,地雷星火
String = 20045,地雷阻敵
String = 20046,地雷伏擊
String = 20047,探查地雷
String = 20048,地釘
String = 20049,鐵地釘
String = 20050,鋼地釘陣
String = 20051,地釘斷路
String = 20052,地釘迎敵
String = 20053,探查地釘
String = 20054,埋伏班陣
String = 20055,埋伏排陣
String = 20056,埋伏連陣
String = 20057,探查埋伏
String = 20058,援軍班陣
String = 20059,援軍排陣
String = 20060,援軍連陣
String = 20061,探查援軍
String = 20062,借屍還命
String = 20063,借屍還魄
String = 20064,借屍還魂
String = 20065,魂歸西天
String = 20066,封武將技
String = 20067,封必殺技
String = 20068,解除封技
String = 20069,殺氣
String = 20070,殺氣驟升
String = 20071,殺氣騰騰
String = 20072,壓制殺氣
String = 20073,施技減半
String = 20074,施技歸一
String = 20075,文成武德
String = 20076,暗箭傷人
String = 20077,增加經驗
String = 20078,策反之計
String = 20079,穩定軍心
String = 20080,石牆陣地
String = 20081,拒馬陣地
String = 20082,鐵盾陣地
String = 20083,破陣大法
String = 20084,回春術
String = 20085,回春仙術
String = 20086,氣療
String = 20087,氣療訣
String = 20088,氣療大法
String = 20089,通天之眼
String = 20090,蔽天之幕
String = 20091,水鏡之術
String = 20092,逆乾坤
String = 20093,以理降之
String = 20094,以力降之
String = 20095,前鋒鐵獸
String = 20096,鐵獸殺陣
String = 20097,鐵獸大陣
String = 20098,拆除鐵獸
String = 20099,前鋒箭樓
String = 20100,箭樓殺陣
String = 20101,箭樓大陣
String = 20102,拆除箭樓
String = 20103,前鋒銅人
String = 20104,銅人殺陣
String = 20105,銅人大陣
String = 20106,拆除銅人
String = 20107,前鋒盡滅
String = 22000,武將技
String = 22001,拒鹿角
String = 22002,拒鹿包圍
String = 22003,鹿角十重
String = 22004,赤焰
String = 22005,赤焰燃
String = 22006,赤焰火海
String = 22007,連弩
String = 22008,連弩激射
String = 22009,連弩狂濤
String = 22010,火箭烈
String = 22011,火箭強襲
String = 22012,火箭天襲
String = 22013,龍砲
String = 22014,迫擊龍砲
String = 22015,衝射龍砲
String = 22016,炬石
String = 22017,炬石轟
String = 22018,炬石煉獄
String = 22019,火輪
String = 22020,火輪衝
String = 22021,火輪濤殺
String = 22022,滾石
String = 22023,滾石劇壓
String = 22024,滾石怒衝
String = 22025,雪崩
String = 22026,雪崩劇壓
String = 22027,雪崩怒衝
String = 22028,地泉
String = 22029,地泉衝
String = 22030,地泉鯨浪
String = 22031,地茅刺
String = 22032,地茅亂刺
String = 22033,地茅遍地
String = 22034,地雷
String = 22035,地雷火
String = 22036,地雷星火
String = 22037,冰柱
String = 22038,冰柱霜
String = 22039,冰柱群鋒
String = 22040,突石
String = 22041,突石劍
String = 22042,突劍四方
String = 22043,炎牆
String = 22044,炎牆烈燒
String = 22045,集火柱
String = 22046,強火柱
String = 22047,太極門
String = 22048,太極華陣
String = 22049,八卦二象陣
String = 22050,八卦四方陣
String = 22051,八卦六角陣
String = 22052,雷擊
String = 22053,雷擊閃
String = 22054,雷光燋獄
String = 22055,五雷襲
String = 22056,五雷轟頂
String = 22057,狂雷天牢
String = 22058,伏兵班陣
String = 22059,伏兵排陣
String = 22060,伏兵連陣
String = 22061,後伏班陣
String = 22062,後伏排陣
String = 22063,後伏連陣
String = 22064,轒轀車
String = 22065,參轒轀車
String = 22066,駟轒轀車
String = 22067,旋燈
String = 22068,旋燈火
String = 22069,旋燈怒張
String = 22070,蓮華
String = 22071,蓮華爆
String = 22072,蓮華轟天
String = 22073,心劍
String = 22074,心劍齊發
String = 22075,劍輪舞
String = 22076,劍輪斬
String = 22077,神鬼亂舞
String = 22078,旋風
String = 22079,龍旋風
String = 22080,龍捲旋風
String = 22081,炎龍無雙
String = 22082,炎龍參上
String = 22083,炎龍四海
String = 22084,長槍突擊
String = 22085,鐵騎突擊
String = 22086,火牛陣
String = 22087,火牛群舞
String = 22088,火牛烈崩
String = 22089,衝車
String = 22090,駟衝車
String = 22091,屍鬼
String = 22092,食屍鬼
String = 22093,食屍鬼陣
String = 22094,炎獸
String = 22095,炎獸殺陣
String = 22096,驅豹
String = 22097,驅豹衝
String = 22098,驅豹突擊
String = 22099,神鳶
String = 22100,神鳶彈
String = 22101,神鳶空襲
String = 22102,井闌立
String = 22103,井闌衝陣
String = 22104,八門金鎖
String = 22105,生死門
String = 22106,地獄之門
String = 22107,命療術
String = 22108,體療術
String = 22109,活療術
String = 22110,回天術
String = 22111,返天術
String = 22112,活天術
String = 22113,半月斬
String = 22114,三日月斬
String = 22115,日月輪斬
String = 22116,三聖華斬
String = 22117,五嶽華斬
String = 22118,飛鬼戟
String = 22119,落月弓
String = 22120,落日弓
String = 22121,御飛刀
String = 22122,分身斬
String = 22123,神劍
String = 22124,神劍閃
String = 22125,神劍閃華
String = 22126,黃龍天翔
String = 22127,大地狂嘯
String = 22128,泰山壓頂
String = 22129,天地無用
String = 22130,天崩地裂
String = 22131,神鬼共憤
String = 22132,鬼哭神號
String = 22133,浮雷
String = 22134,浮雷陣
String = 22135,浮雷光陣
String = 22136,妖盾
String = 22137,鬼面盾
String = 22138,羅剎之盾
String = 22139,水月斬
String = 22140,月刃烈斬
String = 22141,月輪烈光斬
String = 22142,青龍飛昇
String = 22143,玄武怒流
String = 22144,白虎傲嘯
String = 22145,朱雀焚天
String = 22146,八卦斬
String = 22147,八卦突斬
String = 22148,八卦陣斬
String = 22149,符兵
String = 22150,符兵引
String = 22151,符兵連引
String = 22152,神風術
String = 22153,神風襲
String = 22154,神風華襲
String = 22155,鐵輪斬
String = 22156,鐵輪血斬
String = 22157,鐵輪血斬陣
String = 22158,土遁
String = 22159,土遁殺
String = 22160,土遁隱殺
String = 22161,火雷玉
String = 22162,火雷鬼玉
String = 22163,火雷鬼玉破
String = 22164,忍鏢
String = 22165,隱忍鏢
String = 22166,隱忍鏢陣
String = 22167,地釘
String = 22168,鐵地釘
String = 22169,鋼地釘陣
String = 22170,隱分身
String = 22171,木隱分身
String = 22172,木忍隱分身
String = 22173,鹿角十重2
String = 22174,超赤焰火海
String = 22175,超連弩狂濤
