[STRING]
String = 60000,test
String = 60186,一次派出好幾頭火牛衝入敵軍，擾亂敵軍陣勢。
String = 60187,派出一大群火牛做為前鋒突擊之用，對敵全軍進行攻擊。
String = 60188,派出兩台衝車闖入敵軍最密集的地方，撞散敵軍的陣勢。
String = 60189,派出四台衝車，令敵軍的陣勢在一瞬間崩潰。
String = 60190,召喚出兩隻可怕的屍鬼。
String = 60191,召喚出四隻屍鬼，命令他們攻擊眼前的敵人。
String = 60192,在敵陣中同時召喚出六隻屍鬼，殺得敵人措手不及。
String = 60193,派出兩台造型怪異的機關怪獸，噴火攻擊敵人。
String = 60194,派出四台造型怪異的機關怪獸，噴火攻擊敵人。
String = 60195,放出野獸，任憑野獸自行去咬死敵人。
String = 60196,放出更多的野獸，任憑野獸自行去咬死敵人。
String = 60197,發動萬獸奔騰的攻勢，即使大軍團也難以匹敵。
String = 60198,發射出特製的飛行兵器，自上空投下炸彈。
String = 60199,派出數台神鳶，對敵軍進行轟炸。
String = 60200,派出大批神鳶，對敵全軍發動轟炸攻擊。
String = 60201,派出兩台井闌，從居高臨下的位置以箭雨射殺敵人。
String = 60202,派出四台井闌，從居高臨下的位置以箭雨射殺敵人。
String = 60203,施展奇門遁甲，使活動中的敵人全靜止不動。
String = 60204,打開空間洞穴，將敵兵吸入。
String = 60205,打開通往冥府的洞穴，將敵兵全部拖到幽冥之底。
String = 60206,進行快速治療，回復本身少許體力。
String = 60207,進行快速治療，回復本身部分體力。
String = 60208,進行快速治療，回復本身大量體力。
String = 60209,進行快速治療，回復全體武將少許體力。
String = 60210,進行快速治療，回復全體武將部分體力。
String = 60211,進行快速治療，回復全體武將大量體力。
String = 60212,揮出三道劍氣，掃平沿路上敵兵，直取目標敵將。
String = 60213,揮出五道劍氣，直取敵將，對沿路敵兵的威脅性更大。
String = 60214,揮出七道劍氣，除殺傷敵將，其威力甚至能掃平軍隊。
String = 60215,發出三道劍氣，劍氣會全部集中攻擊一名敵將。
String = 60216,同時發出五道強力劍氣，集中對一名敵將造成莫大傷害。
String = 60217,凝聚鬥氣成形，對敵軍投擲出一把飛戟
String = 60218,鎖定敵將，以渾身氣力擊發弓箭，在夜晚時有更大威力。
String = 60219,鎖定敵將，以渾身氣力擊發弓箭，在白晝時有更大威力。
String = 60220,鎖定一名武將，投擲一把飛刀攻擊該名敵將。
String = 60221,將渾身的鬥氣提升，幻化出金色武將出擊，衝殺敵全軍。
String = 60222,召喚神劍，將落在敵陣頭上，並落下大量劍雨。
String = 60223,召喚二把神劍，將落在敵陣頭上，並同時落下大量劍雨。
String = 60224,召喚數把神劍，以巨大神劍以及劍雨在敵陣上發動攻勢。
String = 60225,召喚出神聖的黃龍，以黃龍天火攻擊敵全軍。
String = 60226,引發大規模地震，使地層下岩石破土而出，攻擊敵全軍。
String = 60227,將大量石塊捲入高空，再令其高速落下攻擊敵全軍。
String = 60228,預備列
String = 60229,預備列
String = 60230,預備列
String = 60231,預備列
String = 60232,發射出能引動天雷的電球攻擊敵人。
String = 60233,釋放出數顆可自動追敵的雷球，誘發連續的雷擊。
String = 60234,同時放出數量龐大的雷球，在敵軍內引動大規模的攻擊。
String = 60235,在武將前後放置兩面盾牌，在時間內呈現無敵狀態。
String = 60236,在武將前後放置兩面盾牌，在時間內呈現無敵狀態。
String = 60237,在武將前後放置兩面盾牌，在時間內呈現無敵狀態。
String = 60238,在一定範圍內，以三道薄如水刃的衝擊波攻擊敵人。
String = 60239,在一定範圍內，擊出五道並排的月刃衝擊波。
String = 60240,在一定範圍內，擊出七道並排、宛如海嘯般的月刃衝擊波。
String = 60241,召喚出東方的守護獸，神獸之一的青龍。
String = 60242,召喚出北方的守護獸，神獸之一的玄武。
String = 60243,召喚出西方的守護獸，神獸之一的白虎。
String = 60244,召喚出南方的守護獸，神獸之一的朱雀。
String = 60245,在敵陣裡召喚兩個八卦刀輪陣，以迴轉刀輪斬殺敵人。
String = 60246,在敵陣裡召喚四個八卦刀輪陣，以迴轉刀輪斬殺敵人。
String = 60247,在敵陣裡召喚六個八卦刀輪陣，以迴轉刀輪斬殺敵人。
String = 60248,以符咒化為士兵，在時間內將吸引敵軍的注意力。
String = 60249,以符咒化為士兵，在一段時間內將吸引敵軍的注意力。
String = 60250,以符咒化為士兵，在長時間內將吸引敵軍的注意力。
String = 60251,預備列
String = 60252,預備列
String = 60253,預備列
String = 60254,以三個血腥的刀輪斬殺眼前的敵人。
String = 60255,以五個血腥的刀輪斬殺眼前的敵人。
String = 60256,操作七個刀輪，對敵軍發動攻擊，殺傷力極為強大。
String = 60257,派出兩名忍者，以土遁忍術潛入敵軍，伺機偷襲。
String = 60258,派出四名忍者，以土遁忍術潛入敵軍，伺機偷襲。
String = 60259,派出六名忍者以土遁忍術發動偷襲，打得敵軍措手不及。
String = 60260,派出一排忍者，投擲出威力強大的炸裂彈。
String = 60261,派出兩排忍者，投擲數量龐大的炸裂彈，對敵軍爆擊。
String = 60262,派出三排忍者，以強力炸裂彈對敵軍進行大規模攻擊。
String = 60263,派出十名忍者，從後方投擲飛鏢。
String = 60264,派出二十名忍者，從後方投擲飛鏢，射殺敵人。
String = 60265,派出三十名忍者，從後方投擲大量飛鏢，射殺敵人。
String = 60266,預備列
String = 60267,預備列
String = 60268,預備列
String = 60272,預備列
String = 60273,預備列
String = 60274,預備列
String = 60275,預備列
String = 60276,預備列
String = 60277,預備列
String = 60278,預備列
String = 60279,預備列
String = 60280,預備列
String = 60281,預備列
String = 60282,預備列
String = 60283,預備列
String = 60284,預備列
String = 60285,預備列
String = 60286,預備列
String = 60287,預備列
String = 60288,預備列
String = 60289,預備列
String = 60290,預備列
String = 60291,預備列
String = 60292,以大量伏兵埋於我軍後方，等待時機，加入戰局。
String = 60293,以大量伏兵埋於敵軍後方，等待時機，加入戰局。
String = 60294,預備列
String = 60295,預備列
String = 60296,預備列
String = 60297,預備列
String = 60298,預備列
String = 60299,派出身上著火的發狂火牛進行突擊。
String = 60300,預備列
String = 60301,發動萬獸奔騰的攻勢，即使大軍團也難以匹敵。
String = 60302,派出大批神鳶，對敵全軍發動轟炸攻擊。
String = 60303,施展奇門遁甲，使活動中的敵人全靜止不動。
String = 60304,超地獄之門
String = 60305,超活療術
String = 60306,超活天術
String = 60307,超日月輪斬
String = 60308,連弓
String = 60309,超神劍閃華
String = 60310,預備列
String = 60311,在武將前後放置兩面盾牌，在時間內呈現無敵狀態。
String = 60312,超月輪烈光斬
String = 60313,在敵陣裡召喚八個八卦刀輪陣，以迴轉刀輪斬殺敵人。
String = 60314,預備列
String = 60315,超鐵輪血斬陣
String = 60316,超土遁隱殺
String = 60317,超火雷鬼玉破
String = 60318,超隱忍鏢陣
String = 60319,預備列
String = 60320,預備列
String = 60321,預備列
String = 60322,預備列
String = 60323,預備列
String = 60324,預備列
String = 60325,預備列
String = 60326,召喚流水之龍，以八顆流星般水彈衝撞敵軍。
String = 60327,召喚流水之龍，以十六顆流星般水彈衝撞敵軍。
String = 60328,召喚流水之龍，以二十四顆流星般水彈衝撞敵軍。
String = 60329,預備列
String = 60330,召喚大地之龍，在敵軍腳下引起地震。
String = 60331,召喚大地之龍，在敵軍腳下引起強烈地震。
String = 60332,召喚大地之龍，在敵軍腳下引起大範圍的強烈地震。
String = 60333,預備列
String = 60334,召喚狂風之龍，捲起風暴侵襲敵兵。
String = 60335,召喚狂風之龍，捲起猛烈的風暴侵襲敵兵。
String = 60336,召喚狂風之龍，捲起猛烈的超大風暴侵襲敵兵。
String = 60337,預備列
String = 60338,召喚烈火之龍，燒死眼前敵人。
String = 60339,召喚烈火之龍，敵軍接觸者立即烈火焚身。
String = 60340,召喚烈火之龍，以灼熱烈焰將大批敵軍燒為焦炭。
String = 60341,預備列
String = 60342,自地獄召來魔劍，持之殺傷敵軍可吸取體力。
String = 60343,自地獄召來幽冥魔劍，可殺傷敵軍並吸取體力。
String = 60344,自地獄召來最強幽冥魔劍，可殺傷敵軍並吸取體力。
String = 60345,預備列
String = 60346,以遁甲密法迎來聖劍，在時間內大幅增加殺傷力。
String = 60347,以遁甲密法迎來天界聖劍，在時間內大幅增加殺傷力。
String = 60348,以遁甲密法迎來至高天界聖劍，在時間內大幅增加殺傷力。
String = 60349,預備列
String = 60350,喚出兩台輕量型鐵甲車，以尖銳的龍牙錐殺傷敵軍。
String = 60351,喚出四台輕量型鐵甲車，以尖銳的龍牙錐殺傷敵軍。
String = 60352,喚出六台輕量型鐵甲車，以尖銳的龍牙錐殺傷敵軍。
String = 60353,預備列
String = 60354,召喚出鎮守中央的守護獸之長，神獸之一的麒麟。
String = 60355,預備列
String = 60356,由異界召喚最強的機關車前來助陣。
String = 60357,由異界召喚究極的機關士兵前來助陣。
String = 60450,吾兒#b02#業已成年，自當輔佐為父建功殺敵。
String = 60451,#b02#吾兒已屆成年，當隨為父征戰沙場。
String = 60452,吾兒#b02#文韜武略已有小成，當出仕我軍貢獻一己之力。
String = 60453,#b02#吾兒年已弱冠，不為我軍效力，更待何時？
String = 60454,吾兒#b02#已非黃口小兒，理當報效我軍，早立功業。
String = 60455,#a02#謹遵父親之命，不敢有違。
String = 60456,父親大人征戰勞苦，吾自該為父分憂。
String = 60457,孩兒願效犬馬之勞，以報父親大人養育之恩。
String = 60458,#a02#願隨父親討賊建功，光耀吾家門楣。
String = 60459,爹親既有囑咐，吾豈有不從之理？
String = 60460,我軍正是用人之際，得#b03#相助，猶如猛虎添翼。
String = 60461,#b03#此等將才，我軍正求之不得，豈有相拒之理？
String = 60462,我軍得#b03#之力，何愁賊人不除？
String = 60463,汝願共襄盛舉，此乃我軍之幸，斷無相拒之理。
String = 60464,我軍正是求才若渴，#b03#來投，討賊平亂指日可待。
String = 60465,在下久慕#b02#大人盛名，今日來投，助君一臂。
String = 60466,久聞#b02#大人仁義佈於四海，吾願隨左右，以效犬馬之勞。
String = 60467,久聞#b02#大人乃納士招賢之人，吾特來相投，望君不棄。
String = 60468,吾慕#b02#大人賢名已久，今日特來相助，。
String = 60469,聞#b02#大人廣納四方之士，吾特來相投，望乞收錄。
String = 60470,愛妻孤軍奮戰，愚夫何忍置身事外？今特來相助一陣。
String = 60471,孤身征戰何其辛苦？為夫今日特來相助，以解愛妻之勞。
String = 60472,為夫有感愛妻辛勞，今特來援助，夫妻齊心，何愁賊人難除？
String = 60473,賢妻征戰勞苦，為夫特來相助，夫妻攜手殺敵，千軍萬馬亦不為懼。
String = 60474,賢妻既有大志建功立業，愚夫自當勉力相助，以為後盾。
String = 60475,#a02#得夫君相助，縱刀山劍海亦敢一闖。
String = 60476,我軍得夫郎相助，大業功成指日可待。
String = 60477,夫君不辭辛勞，前來相助，#a02#感激不盡。
String = 60478,夫郎來助，我軍如得千人之力。
String = 60479,夫君遠來辛苦，#a02#不勝感激。
String = 60480,夫君征戰勞苦，妾身豈可獨自安逸，今特來相助，願為夫君分憂解勞。
String = 60481,妾雖女流，亦有幾分武功謀略，願隨夫君上陣殺敵，生死同命。
String = 60482,妾身何忍夫君孤身征討四方，願隨侍夫君左右，效犬馬之力。
String = 60483,夫郎軍務辛苦，妾身願效綿薄之力，助夫郎早成功業。
String = 60484,奴家不忍夫郎孤身奮戰，今特來援助，夫妻齊心合力，必可事半功倍。
String = 60485,吾得愛妻輔助，何愁大事不成？
String = 60486,賢妻實乃女中丈夫，我軍添一大將也。
String = 60487,愛妻遠來辛苦，愚夫著實感激。
String = 60488,賢妻願助吾一臂，此乃#a02#之幸也。
String = 60489,有妻如此，夫復何求？#a02#謝過賢妻。
String = 60490,#b02#之子#a02#已成年，進駐我軍%s。
String = 60491,#a02#慕名來投，進駐我軍%s。
String = 60492,#b02#之夫#a02#前來相投，進駐我軍%s。
String = 60493,#b02#之妻#a02#前來相投，進駐我軍%s。
String = 60500,官階開始
String = 60501,一
String = 60502,二
String = 60503,三
String = 60504,四
String = 60505,五
String = 60506,六
String = 60507,七
String = 60508,八
String = 60509,九
String = 60510,十
String = 60511,十一
String = 60512,十二
String = 60513,十三
String = 60514,十四
String = 60515,十五
String = 60516,十六
String = 60517,十七
String = 60518,十八
String = 60519,十九
String = 60520,二十
String = 60525,雙全
String = 60526,武官
String = 60527,文官
String = 60528,特殊
String = 60600,改變千人戰的時間為白晝。
String = 60601,改變千人戰的時間為夜晚。
String = 60602,改變千人戰的天候為下雨。
String = 60603,改變千人戰的天候為下雪。
String = 60604,消除一切改變天候日夜的法術。
String = 60605,降低敵軍的集氣速度。
String = 60606,提昇我軍的集氣速度。
String = 60607,進入千人戰前，預先累積一段氣力。
String = 60608,進入千人戰前，預先累積二段氣力。
String = 60609,進入千人戰前，預先累積三段氣力。
String = 60610,消除敵軍預先累積的氣力。
String = 60611,加強我軍武將技的天候、日夜加乘效果。
String = 60612,消除敵軍順應天時的效果。
String = 60613,運用地利，減輕我軍士兵受到的傷害。
String = 60614,消除敵軍順應地利的效果。
String = 60615,增強我軍兵種相剋效果。
String = 60616,消除敵軍順應人和的效果。
String = 60617,增加敵軍所有武將疲勞度。
String = 60618,降低我軍所有武將疲勞度。
String = 60619,降低敵軍武將全員的攻擊力。
String = 60620,提昇我軍武將全員的攻擊力。
String = 60621,降低敵軍所有士兵的士氣。
String = 60622,提昇我軍所有士兵的士氣。
String = 60623,降低敵軍所有士兵的攻擊力。
String = 60624,提昇我軍所有士兵的攻擊力。
String = 60625,降低敵軍所有士兵的防禦力。
String = 60626,提昇我軍所有士兵的防禦力。
String = 60627,降低敵軍所有士兵的移動速度。
String = 60628,提昇我軍所有士兵的移動速度。
String = 60629,降低敵軍的士氣、攻擊力、防禦力、速度。
String = 60630,提昇我軍的士氣、攻擊力、防禦力、速度。
String = 60631,大幅降低敵軍的士氣、攻擊力、防禦力、速度。
String = 60632,大幅提昇我軍的士氣、攻擊力、防禦力、速度。
String = 60633,封鎖戰場，敵我雙方皆無法退兵。
String = 60634,解除戰場的封鎖，消除無法退兵的效果。
String = 60635,在我軍陣營前方放四個拒鹿角，敵軍碰撞時將造成傷害。
String = 60636,在我軍陣營前方放七個拒鹿角，敵軍碰撞時將造成傷害。
String = 60637,在我軍陣營前方放十個拒鹿角，敵軍碰撞時將造成傷害。
String = 60638,預先埋伏十個拒鹿角，在敵軍撤退現形，阻斷退路。
String = 60639,預先埋伏十個拒鹿角，在敵軍衝鋒現形，迎擊敵軍。
String = 60640,破壞敵軍預先埋伏的拒鹿角。
String = 60641,埋藏三個敵軍碰觸馬上爆炸的地雷，我軍衝鋒時，立即於敵陣出現。
String = 60642,埋藏六個敵軍碰觸馬上爆炸的地雷，我軍衝鋒時，立即於敵陣出現。
String = 60643,埋藏九個敵軍碰觸馬上爆炸的地雷，我軍衝鋒時，立即於敵陣出現。
String = 60644,埋藏九個敵軍碰觸馬上爆炸的地雷，敵軍衝鋒時，立即於敵陣出現。
String = 60645,埋藏九個敵軍碰觸馬上爆炸的地雷，敵軍撤退時，立即於敵陣出現。
String = 60646,破壞敵軍預先埋藏的地雷火砲。
String = 60647,一開戰即派四名忍者衝入敵陣，撒下劇毒菱形釘。
String = 60648,一開戰即派六名忍者衝入敵陣，撒下劇毒菱形釘。
String = 60649,一開戰即派八名忍者衝入敵陣，撒下劇毒菱形釘。
String = 60650,埋伏八名忍者，在敵軍撤退時衝入敵陣，乘勝追擊。
String = 60651,埋伏八名忍者，在我軍衝鋒時衝入敵陣，殺傷敵軍。
String = 60652,破壞敵軍預先埋伏的忍者。
String = 60653,於敵後方埋伏十名伏兵，待敵軍有退意時殺出。
String = 60654,於敵後方埋伏三十名伏兵，待敵軍有退意時殺出。
String = 60655,於敵後方埋伏五十名伏兵，待敵軍有退意時殺出。
String = 60656,搜查並誅滅敵軍預先埋伏的伏兵。
String = 60657,於我軍後方埋伏十名援軍，我軍損傷過半時立即現身支援。
String = 60658,於我軍後方埋伏三十名援軍，我軍損傷過半時立即現身支援。
String = 60659,於我軍後方埋伏五十名援軍，我軍損傷過半時立即現身支援。
String = 60660,搜查並誅滅敵軍預先埋伏的援軍。
String = 60661,每殺死一個敵兵時，有機率使其復活為屍兵助陣，最多五十名。
String = 60662,每殺死一個敵兵時，有機率使其復活為屍兵助陣，最多一百名。
String = 60663,每殺死一個敵兵時，有機率使其復活為屍兵助陣，最多一百五十名。
String = 60664,消除敵方借屍法術的效果。
String = 60665,封印敵武將的武將技，使其在千人戰中無法使用。
String = 60666,封印敵武將的必殺技，使其在千人戰中無法使用。
String = 60667,解除敵軍對我軍武將技、必殺技的封印。
String = 60668,我軍武將使用必殺技的頻率略為提高。
String = 60669,我軍武將使用必殺技的頻率提高許多。
String = 60670,我軍武將使用必殺技的頻率大幅上升。
String = 60671,消除敵軍的殺氣，使其無法提高必殺技的使用頻率。
String = 60672,我軍施展的武將技技力消耗減半。
String = 60674,我軍武將施展武將技、組合技只消耗一段氣力。
String = 60675,一開戰立即施放暗箭，使敵武將防不勝防。
String = 60676,提昇領悟力，使得累積經驗的效率提高。
String = 60677,在敵軍陣營散佈謠言，使部分敵兵倒戈背叛。
String = 60678,安撫我軍士兵，使策反之計失效。
String = 60679,在戰場上搭建石牆，可以阻擋敵軍部分的遠程攻擊。
String = 60680,在戰場上搭建拒馬，可以阻擋敵軍部分的遠程攻擊。
String = 60681,在戰場上搭建鐵甲巨盾，可以阻擋敵軍部分的遠程攻擊。
String = 60682,破壞敵軍於戰場上預先搭建的石牆、拒馬、鐵盾。
String = 60683,我軍所有武將在戰場上每秒可回復一點體力。
String = 60684,我軍所有武將在戰場上每秒可回復三點體力。
String = 60685,在戰前回復我軍所有武將少許體力。
String = 60686,在戰前回復我軍所有武將部分體力。
String = 60687,在戰前回復我軍所有武將大量體力。
String = 60688,完全消滅敵軍埋伏的拒鹿角、地雷、地釘、伏兵、援軍。
String = 60689,敵軍無法消滅我軍的拒鹿角、地雷、地釘、伏兵、援軍。
String = 60690,施術軍師有機會習得敵方軍師在戰役中施展的軍師技。
String = 60691,施術軍師在戰役中暫時大幅降低智力，提高武力。
String = 60694,派遣兩台鐵獸車擔任前鋒，一開戰即朝敵方陣地突進。
String = 60695,派遣四台鐵獸車擔任前鋒，一開戰即朝敵方陣地突進。
String = 60696,派遣六台鐵獸車擔任前鋒，一開戰即朝敵方陣地突進。
String = 60697,破壞敵方預先派遣的鐵獸車。
