[STRING]
String = 60000,阵型说明(自设武将)
String = 60108,能寻得此地，乃是千载难逢之机缘，若是错过，恐怕今生再无缘得见，本仙洞府之中奇珍甚多，若有合意者，可以少许金银购买，未知将军可愿一观？ 
String = 60110,单挑战前喊话
String = 60111,吾人今日必生擒逆贼以献吾主！
String = 60112,吾虽文质之身，擒下#b02#仍是绰绰有余！
String = 60113,贼人莫怪吾刀下不留情，尽管放马过来吧！
String = 60114,非是#a03#恃强凌弱，是汝执迷不误，得罪了！
String = 60115,此乃君子之争，生死胜败与人无尤！
String = 60116,#b02#竟敢独斗本将，有何本事尽管施展！
String = 60117,#a03#今日大开杀戒，定教汝后悔独斗本将！
String = 60118,哼！废话少说，接招吧！
String = 60119,无知小辈胆敢独斗本将，死期不远矣！
String = 60120,痛快！今日单挑独斗，生死无怨！
String = 60121,逆天而为焉能长生，贼人胆敢独斗#a03#！
String = 60122,胆敢独斗#a03#，汝实勇气可嘉！
String = 60123,有何本事尽管施展，谁强谁弱，立见分晓！
String = 60124,大将#a02#在此，狂妄之徒跪地受缚吧！
String = 60125,独斗#a03#，汝难逃一败！
String = 60126,哈哈！我看到战神是对着我微笑，此战必定胜利而归！
String = 60127,今日就让你见识一下北方勇士的威力！
String = 60128,单打独斗正是我北方勇士的作风，出招吧！
String = 60129,今天就在战神的见证下，进行一对一的公平决斗吧！
String = 60130,奔驰于大漠的北方勇士肯与你单打独斗，希望你的本事别教我失望才好！
String = 60131,纳命来吧！今日教你见识我南人的虎豹之力！
String = 60132,敢出阵独斗南蛮勇者，等会可别吓得屁滚尿流啦！
String = 60133,南蛮勇士的勇猛，今日必教你大开眼界！
String = 60134,见识我南人威猛后，汝必后悔逞强出阵！
String = 60135,敢单人独斗南蛮勇士，我倒要看看你有何本事！
String = 60136,问答无用！决一胜负吧！
String = 60137,你有独斗倭国武士的勇气，只怕没有独斗倭国武士的本事啊！
String = 60138,敢单挑倭国武士，我#a02#实在佩服之至！
String = 60139,倭国武士#a02#在此，有何高招尽展无妨！
String = 60140,吾乃倭国武士#a02#，今日一战，教你明了我倭国武士的威风！
String = 60141,小看奴家之力，小心自讨苦吃！
String = 60142,妾身虽是女流，单挑决斗可还少有败绩，你有觉悟了吗！
String = 60143,本姑娘可不是娇弱女流，败在我手下的名将可多着呢！
String = 60144,成为妾身手下败将，你该感到荣幸才是！
String = 60145,奴家倒要看看你有何本事与我单打独斗，接招吧！
String = 60146,比武大会战前喊话
String = 60147,今日得幸与诸君切磋武艺，真是万分荣幸。
String = 60148,久闻各位大名，今日得以切磋比武，还望不吝指教。
String = 60149,切磋比武难免有所损伤，所有得罪，还请诸位多多见谅。
String = 60150,诸君虽是不弱，但今日难免败于吾等之手，得罪了！
String = 60151,诸君盛名在外，今日有幸切磋，还望指教！
String = 60152,请各位尽管使出全力！今日吾等痛快一战吧！
String = 60153,刀剑不长眼，若有什么闪失，尚请各位见谅海函。
String = 60154,哈～难得遇到可堪匹敌的对手，这一战吾等已期待许久。
String = 60155,比武切磋乃人生一大乐事，进招吧！
String = 60156,各位有何武艺尽管使出来吧！此战定要打个痛快！
String = 60157,比武大会旨在切磋武艺，若怀私怨而战，着实令人不齿。
String = 60158,没想到在战场之外，还有机会可与诸位一较高下。
String = 60159,能与诸位英雄比武，吾等深敢荣幸，请指教！
String = 60160,今日暂且放开恩怨情仇，痛快的大战一场吧！
String = 60161,尽管放马过来吧！今日这天下第一的殊荣非吾等莫属。
String = 60162,今日吾等勇士将施展豪迈武技，取得天下第一的荣誉！
String = 60163,能有机会与诸位英雄较量武艺，更胜大漠张弓射雕之乐！
String = 60164,战神将会助我等在此一展身手，哈哈！
String = 60165,比武在我北方的家乡是家常便饭，诸位尽管使出绝招吧！
String = 60166,我等将如大漠的狂风一般席卷，定要夺得最后胜利！
String = 60167,莫道我南人空有蛮勇，今日比武切瑳，各位便可见识我南蛮武艺！
String = 60168,凭藉南人虎豹般的勇气，今日比武，我等可是信心十足！
String = 60169,我南人一向敬重英雄，今日能与各位比试，实在荣幸！
String = 60170,我南蛮武将勇猛剽悍，比试时若有得罪，还请见谅！
String = 60171,这场比试，胜者必为吾等，诸位虽是不弱，亦难敌我南人勇猛！
String = 60172,能与诸君切磋，吾等的武士之魂正猛烈燃烧，出招吧！
String = 60173,吾等的斗魂正熊熊燃烧，请诸君全力施为，轰轰烈烈的大战一场吧！
String = 60174,这场比试的胜利已注定属于倭国武士，各位英雄请别见怪！
String = 60175,我们现在猛烈的觉得热血沸腾，请诸位英雄赐教！
String = 60176,倭国武士向爱比武切磋，对战各位豪杰，实在痛快！
String = 60177,想在比武大会赢过本姑娘，可不是简单的事情啊！
String = 60178,别以为本姑娘是女流之辈就可以轻松应付，我可是不好惹的！
String = 60179,天下第一的荣誉是属于本姑娘的，请各位英雄莫要见怪！
String = 60180,比武切磋本有胜败，奴家若有得罪，还请诸君海涵！
String = 60181,诸位有幸与本姑娘比武可是天大的福气，尽管出招吧！
String = 60182,单挑战胜喊话
String = 60183,无道之人，败之当然。
String = 60184,小看我文质之身，今日一败，汝可心服？
String = 60185,汝逆天而行，今日该当一败！
String = 60186,独斗尚不能胜我一介文人，汝枉称大将！
String = 60187,汝不过尔尔，今日以强胜弱，实在胜之不武！
String = 60188,败于本将之手，汝该心服口服吧？
String = 60189,厮杀片刻便分胜负，实有意犹未尽之感！
String = 60190,如此武功便可领兵征伐，汝军中已无人可为将乎？
String = 60191,泛泛之辈独斗#a03#，如何不败？
String = 60192,是汝自取其辱，休怪#a03#强横！
String = 60193,难道这就是你的能力吗？实在令人大失所望啊！
String = 60194,这等武功便敢独斗#a03#，未免太过托大！
String = 60195,#a03#胜得如此轻易，将军实力亦不过尔尔！
String = 60196,汝实力平平，独斗#a03#，未免托大！！
String = 60197,哼！将军竟只有如此实力，难道贵军就没有个像样的人物吗？
String = 60198,小辈武功微末，竟妄想独斗北方草原的勇士！
String = 60199,这就是大漠的勇士之力，你服是不服？
String = 60200,记住本将今日的威风，来日再遇我北方草原的勇者，可别再逞强出战了！
String = 60201,这等实力就想独斗大漠来的勇者吗？真是自不量力！
String = 60202,今日独斗你这蝼蚁之辈，实在辱没我大漠勇者之名！
String = 60203,汝有如弱小羔羊，岂是我南蛮虎豹之士的对手？
String = 60204,将军如此不堪一击，也敢逞强独斗南蛮勇士？
String = 60205,敢单挑南蛮勇士，虽是勇气可嘉，不过实力差得远了！
String = 60206,南蛮的勇者，单打独斗还没输过，今天当然也不例外！
String = 60207,平庸小辈也敢单挑南蛮勇者，真是丢人现眼！
String = 60208,就这点微末本事也敢逞英雄，是武士的话，就切腹谢罪吧！
String = 60209,败在倭国武士的手下，你输得不算冤枉！
String = 60210,凭这点本事，就连给倭国武者试刀的资格都没有！
String = 60211,错估倭国武士的实力就是这个下场！
String = 60212,枉费吾以武士之礼仪慎重应战，没想到对手竟是个酒囊饭袋！
String = 60213,你的实力也算不差，可惜对上本姑娘，只有含恨败阵的份！
String = 60214,对上软弱小辈，奴家胜得实在不光彩！
String = 60215,像你这种酒囊饭袋，就是十个一起上，也不是本姑娘的对手！
String = 60216,给我好生牢记，女流之中亦有强者！
String = 60217,只有这等实力也敢劳动本姑娘出阵独斗，你莫非活得不耐烦了？
String = 60218,比武大会战胜喊话
String = 60219,诸君实力不弱，可惜我等技胜一筹，承让了！
String = 60220,与诸位比试切磋，着实获益良多，此战承让了！
String = 60221,今日一战实在痛快，对上我等，诸位虽败犹荣
String = 60222,为将者焉有不败？诸位宜多锻炼，来年再战一回。
String = 60223,承诸君相让，令我等侥幸胜出，待来年再战一场。
String = 60224,哈哈！今日得胜威名已立，诸位回去多加锻炼，来年再战吧！
String = 60225,风闻诸位武艺高强，看来坊间传言多不可信！
String = 60226,败我我等之手，诸位可不冤枉啊！
String = 60227,汝等武艺略逊一筹，回去好生琢磨，来年再比试一番！
String = 60228,诸位实力不差，可惜终究败在我等手下。
String = 60229,吾等得胜此战，诸君可心服？
String = 60230,吾等侥幸赢得半招，多谢诸位相让！
String = 60231,此战是吾等略胜半筹，请诸君莫要见怪！
String = 60232,诸君武艺精湛，可惜我等技高一筹，承让！承让！
String = 60233,胜败乃兵家常事，今日汝等虽败于我手，锻炼一番，来年可再一战！
String = 60234,北方的勇士是不败的！
String = 60235,哈哈！战神果然是站在我们这边的！
String = 60236,北方草原的守护战神始终是支持我的！
String = 60237,这就是北方勇者的本领，你们服是不服？
String = 60238,比武得胜乃是北方勇士的家常便饭，没什么了不起！
String = 60239,我等之力有如虎豹，得胜本是当然，哈哈！
String = 60240,看来南方丛林里的恶虎狂豹还比较难缠些，没能发挥全力真是扫兴！
String = 60241,今日得以立下威名，还有谁敢瞧不起我南蛮之人！
String = 60242,南蛮战士是打不倒的！
String = 60243,胜利是属于南蛮勇士的！
String = 60244,能战胜如此强大的敌手，我等体内的武士之魂正熊熊燃烧！
String = 60245,倭国武士乃是不败的！
String = 60246,败在我倭国武士的手下，你们可心服口服了吧？
String = 60247,此胜乃倭国武者之荣耀！
String = 60248,此战得胜，教天下莫敢小看倭国武士的能力！
String = 60249,女流之辈未必武功低微，今日得胜，便是凭证！
String = 60250,本姑娘可是巾帼不让须眉，回去多练练再来吧！
String = 60251,小女子险胜半招，多谢诸位相让！
String = 60252,今日乃女流之辈扬眉吐气之日！
String = 60253,今日一胜，乃妾身实力之铁证！
String = 60260,贿赂山寨
String = 60261,我军赠%s千金，交情上升。
String = 60262,闻%s之主乃豪杰之辈，吾主#a04#大人特遣在下赠金千两为礼，还望不弃。
String = 60263,知道结交我#a02#，#b04#眼光不差，将来有什么要帮忙，尽管来找我。
String = 60264,我军抵达%s，不知如何处置？
String = 60276,卑鄙对话
String = 60277,说单挑就一个人出战，你还真好骗？\n(主将特性－卑鄙　发动)
String = 60278,真以为我会跟你单挑独斗吗？来人啊！给我杀！\n(主将特性－卑鄙　发动)
String = 60279,你中计啦！众兵士，给我上！\n(主将特性－卑鄙　发动)
String = 60280,傻瓜，你以为真的是单挑吗？众兵齐上！\n(主将特性－卑鄙　发动)
String = 60281,还真的单人出战，要怪就怪你笨吧！来人啊！给我杀！\n(主将特性－卑鄙　发动)
String = 60282,愚昧之人，真以为是单挑独斗吗？众兵士，给我上！\n(主将特性－卑鄙　发动)
String = 60283,出来吧！众士兵，把他给我砍成肉酱！\n(主将特性－卑鄙　发动)
String = 60284,你未免也太好骗了！众兵齐上吧！\n(主将特性－卑鄙　发动)
String = 60285,要怪就怪你头脑简单吧！来人啊！把他大卸八块！\n(主将特性－卑鄙　发动)
String = 60286,天下竟然有这么好骗的笨蛋？出来吧！众士兵！\n(主将特性－卑鄙　发动)
String = 60287,要求单挑
String = 60288,久闻#b02#威名，不知独斗敢是不敢？
String = 60289,#a02#今日不比用兵，与你#b02#独斗一决，如何？
String = 60290,小辈#b02#，敢接受本将的单挑战书吗？
String = 60291,无需劳动兵士，#b02#与本将独斗决胜！
String = 60292,#b02#小儿！出阵独斗吧！
String = 60293,大胆下将，有胆量跟本将单挑独斗吗？
String = 60294,#b02#威名在外，与#a03#单独较量一番，如何？
String = 60295,#a02#向你#b03#挑战，一将对一将，敢是不敢？
String = 60296,#b02#小辈莫靠兵士之力，独斗方显威风！
String = 60297,#b02#！我俩在众人面前独斗决胜，你敢是不敢？
String = 60298,接受单挑
String = 60299,独战千军，#a03#犹无所惧，今日岂不敢与汝对决？
String = 60300,#a03#正有此意，便看#b02#小儿有多大能耐！
String = 60301,有幸领教#b02#武艺，#a03#恭敬不如从命！
String = 60302,如你所愿，单打独斗，胜负一决！
String = 60303,#b02#尽管来战，单打独斗汝亦非对手！
String = 60304,不知天高地厚，本将便如你所愿！
String = 60305,遣我军精兵上阵，某正觉胜之不武，单挑正合我意！
String = 60306,敢约#a03#独斗，天下之不智者莫若#b02#！
String = 60307,斗便斗，怕你的便不是#a02#！
String = 60308,无知下将约斗，#a03#断无相拒之理！
String = 60309,拒绝单挑
String = 60310,本将不屑与小辈逞凶斗狠，战场见真章吧！
String = 60311,#a03#的武艺差强人意，但运筹帷幄应胜#b02#，开战吧！
String = 60312,单打独斗不过匹夫之勇，用兵布阵方为上将之道！
String = 60313,我#a02#堂堂大将，岂有与平庸下将独斗的道理？
String = 60314,#a03#岂可自贬身份，与下将独斗！
String = 60315,#b02#不配与#a03#单打独斗！
String = 60316,#a03#手下精兵斗志高昂，总要让他们有所表现才是。
String = 60317,#b02#何许人？也配与我#a02#单挑对决！
String = 60318,此事恕难从命！
String = 60319,休要激将！领兵冲杀吧！
String = 60320,拒绝单挑 (懦弱)
String = 60321,本． ． 本 ． 本将忽染风寒，单挑还是下次吧！
String = 60322,谁． ． ． ． 谁． ． 要跟你单挑，哪是粗人作的事！
String = 60323,你说什么？本将没听清楚！
String = 60324,单挑非是． ． ． ．#a02#长处，还是免了吧！
String = 60325,本将还有急事待办，还是带兵上阵，一次了断吧！
String = 60330,山寨开启太守对话
String = 60331,%s 附近发现山贼流寇聚集
String = 60332,探子来报，我军辖地 %s 附近的山贼流寇已重新聚集，我军当多加小心。
String = 60333,我军辖地%s 附近有不少可疑人物出没，以为我军驱散的流寇怕是又要作乱了。
String = 60334,我军辖地 %s 近日多有流寇出没，恐是附近的山贼河盗已卷土重来。
String = 60335,我军辖地 %s  有探子来报，附近贼迹再现，本以为消灭的流寇又要作乱了 。
String = 60336,有探子来报，我军辖地%s 附近的山贼河盗似有卷土重来之迹象。
String = 60337,不妙！我军辖地%s 附近贼人蠢蠢欲动，怕是又要作乱了。
String = 60338,不好！我军辖地%s 近来常有劫掠，莫非已消灭的贼党死灰复燃？
String = 60339,我军辖地 %s 近日劫掠频频，恐是我军攻破的贼党又重新汇聚了。
String = 60340,近来我军辖地%s 一带多有贼人出没，研判应是附近流寇再度聚集成党了。
String = 60341,近日探子来报，我军辖地 %s 附近山贼流寇卷土重来，我军当多加小心。
String = 60342,消灭山寨对话
String = 60343,成功消灭盘据在 %s 的山贼流寇
String = 60344,我军攻破 %s ，此间贼人或死或逃，已不足为祸。
String = 60345,我军歼灭盘据在 %s 的盗贼，此后本地百姓可免劫掠之苦。
String = 60346,盘据在 %s 的一伙盗贼已为我军尽数驱散。
String = 60347, %s 贼人荼毒百姓，我军正是替天行道。
String = 60348, %s贼党占地为王、鱼肉乡里，我军正是为民除害。
String = 60349,我军为民除害，尽灭 %s 贼寇。
String = 60350, %s 贼党残暴不仁，我军灭之当然。
String = 60351, %s 贼寇劫掠百姓，我军自当征讨。
String = 60352,我军攻破 %s，本地百姓此后免受贼人滋扰。
String = 60353,%s贼人结党害民，我军自当剿灭。
String = 60354,与 %s 友好关系大幅下降
String = 60358,妖兽 - 大花豹
String = 60359,吼～～～～～～～～～～
String = 60360,吼～～～～～～～～～～
String = 60361,吼～～～～～～～～～～
String = 60362,妖兽 - 噬人巨熊
String = 60363,吼～～～～～～～～～～
String = 60364,吼～～～～～～～～～～
String = 60365,吼～～～～～～～～～～
String = 60366,妖兽 - 金甲妖龙
String = 60367,吼～～～～～～～～～～
String = 60368,吼～～～～～～～～～～
String = 60369,吼～～～～～～～～～～
String = 60370,妖兽 - 白狼王
String = 60371,吼～～～～～～～～～～
String = 60372,吼～～～～～～～～～～
String = 60373,吼～～～～～～～～～～
String = 60374,妖兽 - 血焰火蚁
String = 60375,嘎～～～～～～～～～～
String = 60376,嘎～～～～～～～～～～
String = 60377,嘎～～～～～～～～～～
String = 60378,妖兽 - 先秦尸将
String = 60379,呵！呵！怕你不成？
String = 60380,你不配跟我单打独斗！
String = 60381,傻子才跟你单挑，妖兵们，上！
String = 60382,妖兽 - 赤夜叉
String = 60383,就陪你玩玩吧！
String = 60384,哼！你也配？
String = 60385,傻瓜，真以为我跟你单挑吗？
String = 60386,妖兽 - 鬼面蜘蛛
String = 60387,吱吱～～～～～～
String = 60388,吱吱～～～～～～
String = 60389,吱吱～～～～～～
String = 60390,妖兽 - 青罗刹
String = 60391,就陪你玩玩吧！
String = 60392,哼！你也配？
String = 60393,傻瓜，真以为我跟你单挑吗？
String = 60394,妖兽 - 巨雪熊
String = 60395,吼～～～～～～～～～～
String = 60396,吼～～～～～～～～～～
String = 60397,吼～～～～～～～～～～
String = 60398,妖兽 - 太岁
String = 60399,嘶～～～～～～～～～
String = 60400,嘶～～～～～～～～～
String = 60401,嘶～～～～～～～～～
String = 60402,妖兽 - 赤蟒
String = 60403,嘶～～～～～～～～～
String = 60404,嘶～～～～～～～～～
String = 60405,嘶～～～～～～～～～
String = 60406,妖兽 - 黑玉妖蟒
String = 60407,嘶～～～～～～～～～
String = 60408,嘶～～～～～～～～～
String = 60409,嘶～～～～～～～～～
String = 60410,妖兽 - 巨水妖
String = 60411,吼～～～～～～～～～～
String = 60412,吼～～～～～～～～～～
String = 60413,吼～～～～～～～～～～
String = 60414,妖兽 - 尖牙鬼虎
String = 60415,吼～～～～～～～～～～
String = 60416,吼～～～～～～～～～～
String = 60417,吼～～～～～～～～～～
String = 60419,单挑时气力上升速度较快。
String = 60420,加快千人战移动速度。
String = 60421,拥有较高的命中率。
String = 60422,有机会在战斗中发射冷箭。
String = 60423,有机会在战斗中发射短戟。
String = 60424,持剑杀敌有较高的杀伤力。
String = 60425,持扇杀敌有较高的杀伤力。
String = 60426,持大刀杀敌有较高的杀伤力。
String = 60427,持枪杀敌有较高的杀伤力。
String = 60428,持弓杀敌有较高的杀伤力。
String = 60429,对守城军械有较高的杀伤力。
String = 60430,担任主将时，可唤来飞鹰助阵。
String = 60431,担任主将时，可唤来猛虎助阵。
String = 60432,担任主将时，可唤来稻草妖兵。
String = 60433,担任主将时，可唤来机关兵。
String = 60450,吾儿#b02#业已成年，自当辅佐为父建功杀敌。
String = 60451,#b02#吾儿已届成年，当随为父征战沙场。
String = 60452,吾儿#b02#文韬武略已有小成，当出仕我军贡献一己之力。
String = 60453,#b02#吾儿年已弱冠，不为我军效力，更待何时？
String = 60454,吾儿#b02#已非黄口小儿，理当报效我军，早立功业。
String = 60455,#a02#谨遵父亲之命，不敢有违。
String = 60456,父亲大人征战劳苦，吾自该为父分忧。
String = 60457,孩儿愿效犬马之劳，以报父亲大人养育之恩。
String = 60458,#a02#愿随父亲讨贼建功，光耀吾家门楣。
String = 60459,爹亲既有嘱咐，吾岂有不从之理？
String = 60460,我军正是用人之际，得#b03#相助，犹如猛虎添翼。
String = 60461,#b03#此等将才，我军正求之不得，岂有相拒之理？
String = 60462,我军得#b03#之力，何愁贼人不除？
String = 60463,汝愿共襄盛举，此乃我军之幸，断无相拒之理。
String = 60464,我军正是求才若渴，#b03#来投，讨贼平乱指日可待。
String = 60465,在下久慕#b02#大人盛名，今日来投，助君一臂。
String = 60466,久闻#b02#大人仁义布于四海，吾愿随左右，以效犬马之劳。
String = 60467,久闻#b02#大人乃纳士招贤之人，吾特来相投，望君不弃。
String = 60468,吾慕#b02#大人贤名已久，今日特来相助。
String = 60469,闻#b02#大人广纳四方之士，吾特来相投，望乞收录。
String = 60470,爱妻孤军奋战，愚夫何忍置身事外？今特来相助一阵。
String = 60471,孤身征战何其辛苦？为夫今日特来相助，以解爱妻之劳。
String = 60472,为夫有感爱妻辛劳，今特来援助，夫妻齐心，何愁贼人难除？
String = 60473,贤妻征战劳苦，为夫特来相助，夫妻携手杀敌，千军万马亦不为惧。
String = 60474,贤妻既有大志建功立业，愚夫自当勉力相助，以为后盾。
String = 60475,#a02#得夫君相助，纵刀山剑海亦敢一闯。
String = 60476,我军得夫郎相助，大业功成指日可待。
String = 60477,夫君不辞辛劳，前来相助，#a02#感激不尽。
String = 60478,夫郎来助，我军如得千人之力。
String = 60479,夫君远来辛苦，#a02#不胜感激。
String = 60480,夫君征战劳苦，妾身岂可独自安逸，今特来相助，愿为夫君分忧解劳。
String = 60481,妾虽女流，亦有几分武功谋略，愿随夫君上阵杀敌，生死同命。
String = 60482,妾身何忍夫君孤身征讨四方，愿随侍夫君左右，效犬马之力。
String = 60483,夫郎军务辛苦，妾身愿效绵薄之力，助夫郎早成功业。
String = 60484,奴家不忍夫郎孤身奋战，今特来援助，夫妻齐心合力，必可事半功倍。
String = 60485,吾得爱妻辅助，何愁大事不成？
String = 60486,贤妻实乃女中丈夫，我军添一大将也。
String = 60487,爱妻远来辛苦，愚夫着实感激。
String = 60488,贤妻愿助吾一臂，此乃#a02#之幸也。
String = 60489,有妻如此，夫复何求？#a02#谢过贤妻。
String = 60490,#b02#之子#a02#已成年，进驻我军%s。
String = 60491,#a02#慕名来投，进驻我军%s。
String = 60492,#b02#之夫#a02#前来相投，进驻我军%s。
String = 60493,#b02#之妻#a02#前来相投，进驻我军%s。
String = 60500,官阶开始
String = 60501,一
String = 60502,二
String = 60503,三
String = 60504,四
String = 60505,五
String = 60506,六
String = 60507,七
String = 60508,八
String = 60509,九
String = 60510,十
String = 60511,十一
String = 60512,十二
String = 60513,十三
String = 60514,十四
String = 60515,十五
String = 60516,十六
String = 60517,十七
String = 60518,十八
String = 60519,十九
String = 60520,二十
String = 60525,双全
String = 60526,武官
String = 60527,文官
String = 60528,特殊
String = 60540,妖兽 - 大花豹
String = 60541,呜～～～～～～～～～～
String = 60542,呜～～～～～～～～～～
String = 60543,妖兽 - 噬人巨熊
String = 60544,呜～～～～～～～～～～
String = 60545,呜～～～～～～～～～～
String = 60546,妖兽 - 金甲妖龙
String = 60547,呜～～～～～～～～～～
String = 60548,呜～～～～～～～～～～
String = 60549,妖兽 - 白狼王
String = 60550,呜～～～～～～～～～～
String = 60551,呜～～～～～～～～～～
String = 60552,妖兽 - 血焰火蚁
String = 60553,吱吱～～～～～～
String = 60554,吱吱～～～～～～
String = 60555,妖兽 - 先秦尸将
String = 60556,本将早就是死人了，再死一次也无妨！哈哈哈！
String = 60557,呵！呵！呵！放了我，你会后悔的！
String = 60558,妖兽 - 赤夜叉
String = 60559,我以后再也不吃人了，饶了我吧！！
String = 60560,笨蛋！我下次一定要吃掉你们！
String = 60561,妖兽 - 鬼面蜘蛛
String = 60562,吱吱～～～～～～
String = 60563,吱吱～～～～～～
String = 60564,妖兽 - 青罗刹
String = 60565,别杀我啊！我以后改吃素啦！！
String = 60566,嘿嘿！捡回一条命啦！！
String = 60567,妖兽 - 巨雪熊
String = 60568,呜～～～～～～～～～～
String = 60569,呜～～～～～～～～～～
String = 60570,妖兽 - 太岁
String = 60571,嘶～～～～～～～～～
String = 60572,嘶～～～～～～～～～
String = 60573,妖兽 - 赤蟒
String = 60574,嘶～～～～～～～～～
String = 60575,嘶～～～～～～～～～
String = 60576,妖兽 - 黑玉妖蟒
String = 60577,嘶～～～～～～～～～
String = 60578,嘶～～～～～～～～～
String = 60579,妖兽 - 巨水妖
String = 60580,呜～～～～～～～～～～
String = 60581,呜～～～～～～～～～～
String = 60582,妖兽 - 尖牙鬼虎
String = 60583,吼～～～～～～～～～～
String = 60584,吼～～～～～～～～～～
String = 60585,第10时期通用斩首
String = 60586,我是跟着乡民进来看热闹的！别杀我啊！
String = 60587,我是被逼加入贼军的，饶命啊！
String = 60588,兄弟们快来救我啊！
String = 60589,好讨厌的感觉啊！
String = 60590,你杀了我，我军一定会为我报仇！
String = 60591,小的只是误入歧途！刀下留人啊！
String = 60592,要我作什么都行！饶我一命啊！
String = 60593,我只是路过的，你们认错人啦！
String = 60594,我家里有老有小，别杀我啊！
String = 60595,你们敢杀我，将来一定千刀万剐！
String = 60596,尽管动手！我军将来一定把你们五马分尸！
String = 60597,我军将来会用你们的人头祭拜我的！
String = 60598,我要弃暗投明！饶我一命吧！
String = 60599,饶我一命，叫我当内奸都行啊！
String = 60600,我也想做好人啊！
String = 60601,第10时期通用释放
String = 60602,算你们识相！否则我军一定不会放你们！
String = 60603,这笔帐我记下了！
String = 60604,给我记住！改天我一定来报仇！
String = 60605,哼！我会永远记得今天的耻辱！
String = 60606,我会记住今日恩情，将来留你们个全尸！
String = 60607,感谢今日不杀之恩，将来落到我手里，保证留你们全 尸！
String = 60608,哼！将来你们一定后悔今天没杀了我！
String = 60609,放我一马，也不过为了搏个仁人君子的虚名罢了！
String = 60610,你傻了不成？这样都放过我？
String = 60611,哼！伪君子，别以为我会感激！
String = 60612,放了我，这将是你一生最大的失败！
String = 60613,不够心狠手辣，你们终究不是我军的对手！
String = 60614,真要放了我？你得了失心疯不成？
String = 60615,改天一定回来找你们算帐！
String = 60616,好好享受你们所剩不多的日子吧！
String = 60659,成功挑战瀛洲岛
String = 60660,恭喜将军！此物乃是一名鬼族女童所留，据说颇有妙用，请将军妥善保管。
String = 60661,恭喜将军！此物乃是一名鬼族女童所留，据说颇有妙用，请将军妥善保管。
String = 60662,恭喜将军！此物乃是一名鬼族女童所留，据说颇有妙用，请将军妥善保管。
String = 60663,恭喜将军！此物乃是一名鬼族女童所留，据说颇有妙用，请将军妥善保管。
String = 60664,恭喜将军！此物乃是一名鬼族女童所留，据说颇有妙用，请将军妥善保管。
String = 60665,挑战瀛洲岛
String = 60666,本仙岛上有五彩神石，传闻破石能得异宝，将军可愿一试？
String = 60667,本岛五彩神石，传闻击破可能异宝，将军可有兴趣？
String = 60668,将军有礼，传闻击破本岛之五彩神石可得异宝，将军可要一试？
String = 60669,此岛有五彩神石一枚，传说击破者可得异宝，将军可要一试？
String = 60670,传说若能击破岛上五彩神石，可得稀世异宝，将军可敢一试？
String = 60671,瀛洲岛出现
String = 60672,瀛洲岛现世
String = 60673,听闻海上藏有瀛洲仙岛，近日五彩奇光大作，不知何因？
String = 60674,久闻海上有仙岛瀛洲，长年祥云缭绕，我军不妨一探！
String = 60675,近日沿海传闻瀛洲仙岛奇光闪耀，我军不妨一探！
String = 60676,闻海上仙岛瀛洲，近日异象频频，我军不妨一探究竟！
