[STRING]
String = 12000,建物名
String = 12107,保留
String = 12108,保留
String = 12109,保留
String = 12110,保留
String = 12111,保留
String = 12112,保留
String = 12113,保留
String = 12114,保留
String = 12115,保留
String = 12116,保留
String = 12117,保留
String = 12118,保留
String = 12119,保留
String = 12120,保留
String = 12121,保留
String = 12122,保留
String = 12123,保留
String = 12124,保留
String = 12125,保留
String = 12126,保留
String = 12127,保留
String = 12128,保留
String = 12129,保留
String = 12130,保留
String = 12131,保留
String = 12132,保留
String = 12133,保留
String = 12134,保留
String = 12135,保留
String = 12136,保留
String = 12137,保留
String = 12138,保留
String = 12139,保留
String = 12140,保留
String = 12141,保留
String = 12142,保留
String = 12143,保留
String = 12144,保留
String = 12145,保留
String = 12146,保留
String = 12147,保留
String = 12148,保留
String = 12149,保留
String = 12150,保留
String = 12151,保留
String = 12152,保留
String = 12153,保留
String = 12154,保留
String = 12155,保留
String = 12156,保留
String = 12157,保留
String = 12158,保留
String = 12159,保留
String = 12160,保留
String = 12161,保留
String = 12162,保留
String = 12163,保留
String = 12164,保留
String = 12165,保留
String = 12166,保留
String = 12167,保留
String = 12168,保留
String = 12169,保留
String = 12170,保留
String = 12171,保留
String = 12172,保留
String = 12173,保留
String = 12174,保留
String = 12175,保留
String = 12176,保留
String = 12177,保留
String = 12178,保留
String = 12179,保留
String = 12180,保留
String = 12181,保留
String = 12182,保留
String = 12183,保留
String = 12184,保留
String = 12185,保留
String = 12186,保留
String = 12187,保留
String = 12188,保留
String = 12189,保留
String = 12190,保留
String = 12191,保留
String = 12192,保留
String = 12193,保留
String = 12194,保留
String = 12195,保留
String = 12196,保留
String = 12197,保留
String = 12198,保留
String = 12199,保留
String = 12200,保留
String = 12201,毒龙潭
String = 12202,猛虎穴
String = 12203,大雪山
String = 12204,火焰山
String = 12205,兽神洞
String = 12206,青龙塔
String = 12207,白虎塔
String = 12208,玄武塔
String = 12209,朱雀塔
String = 12210,麒麟塔
String = 12211,桃源仙乡
String = 12212,尸洞
String = 12213,九泉之渊
String = 12214,保留
String = 12215,保留
String = 12216,保留
String = 12217,保留
String = 12218,保留
String = 12219,保留
String = 12220,保留
String = 12221,保留
String = 12222,保留
String = 12223,保留
String = 12224,黄沙寨
String = 12225,天王寨
String = 12226,虎头寨
String = 12227,黑风寨
String = 12228,翻江坞
String = 12229,天柱山
String = 12230,洞庭坞
String = 12231,百花坞
String = 12232,偃月坞
String = 12233,九里山
String = 12234,大兴山
String = 12235,飞凤寨
String = 12236,血蛟坞
String = 12237,百兽寨
String = 12238,巨熊寨
String = 12239,纠云寨
String = 12240,龙王坞
String = 12241,白狼寨
String = 12242,保留
String = 12243,保留
String = 12244,保留
String = 12245,保留
String = 12246,保留
String = 12247,保留
String = 12248,保留
String = 12249,保留
String = 12250,保留
String = 12251,保留
String = 12252,金牛山
String = 12253,龙魂井
String = 12254,龙岳
String = 12255,万蛇坑
String = 12256,先秦地监
String = 12257,紫金废矿
String = 12258,子午谷
String = 12259,地心眼
String = 12260,荒漠废营
String = 12261,百草林
String = 12262,无名地穴
String = 12263,瘴气林
String = 12264,哑泉
String = 12265,柔泉
String = 12266,黑泉
String = 12267,灭泉
String = 12268,豹子林
String = 12269,云梦泽
String = 12270,碧水地穴
String = 12271,景山洞窟
String = 12272,虎啸坡
String = 12273,疫鬼洞
String = 12274,瘟神谷
String = 12275,大夏泽
String = 12276,海隅泽
String = 12277,玄冰窟
String = 12278,先秦荒冢
String = 12279,先秦古墓
String = 12280,大渚泽
String = 12281,罗刹谷
String = 12282,映月幽潭
String = 12283,铁门峡
String = 12284,绝人岭
String = 12285,九幽洞
String = 12286,沧冥礁
String = 12287,浮冰岛
String = 12288,青鬼岛
String = 12289,赤鬼岛
String = 12290,凤凰岭
String = 12291,保留
String = 12292,保留
String = 12293,保留
String = 12294,保留
String = 12295,保留
String = 12296,保留
String = 12297,保留
String = 12298,保留
String = 12299,保留
String = 12300,瀛洲岛
String = 12301,蓬莱岛
String = 12302,保留
String = 12303,保留
String = 12304,保留
String = 12305,保留
String = 12306,保留
String = 12307,保留
String = 12308,保留
String = 12309,保留
String = 12310,保留
String = 12311,保留
String = 13000,士兵名称
String = 13001,轻步兵
String = 13002,重步兵
String = 13003,短弓兵
String = 13004,长弓兵
String = 13005,短枪兵
String = 13006,长枪兵
String = 13007,弩兵
String = 13008,强弩兵
String = 13009,轻骑兵
String = 13010,重骑兵
String = 13011,蛮兵
String = 13012,藤甲兵
String = 13013,女兵
String = 13014,近卫兵
String = 13015,猛兽兵
String = 13016,象兵
String = 13017,忍者
String = 13018,隐忍
String = 13019,弩车
String = 13020,连弩车
String = 13021,投石车
String = 13022,飞石车
String = 13023,黄巾兵
String = 13024,黄巾长
String = 13025,匈奴兵
String = 13026,游骑兵
String = 13027,浪人
String = 13028,武士
String = 13029,尸兵
String = 13030,尸魔
String = 13031,木人
String = 13032,铁人
String = 13033,刀车兵
String = 13034,铁车兵
String = 13035,剑兵
String = 13036,剑卫
String = 13037,木锤兵
String = 13038,铁锤兵
String = 13039,链球兵
String = 13040,钢球兵
String = 13041,水兵
String = 13042,鳞甲水兵
String = 13043,预备01
String = 13044,预备02
String = 13045,预备03
String = 13046,预备04
String = 13047,预备05
String = 13048,预备06
String = 13049,预备07
String = 13050,预备08
String = 13051,预备09
String = 13052,预备10
String = 13053,山贼刀兵
String = 13054,山贼枪兵
String = 13055,山贼弓兵
String = 13056,海贼刀兵
String = 13057,海贼枪兵
String = 13058,海贼镖手
String = 13059,死魂刀兵
String = 13060,死魂枪兵
String = 13061,流氓
String = 13062,沙漠盗贼
String = 13063,强盗
String = 13064,女飞贼
String = 13065,西域力士
String = 13066,预备01
String = 13067,预备02
String = 13068,预备03
String = 13069,预备04
String = 13070,预备05
String = 13071,预备06
String = 13072,预备07
String = 13073,预备08
String = 13074,预备09
String = 13075,预备10
String = 13076,虎
String = 13077,山猫
String = 13078,黑熊
String = 13079,野狼
String = 13080,小夜叉
String = 13081,火蚁
String = 13082,巨蜘蛛
String = 13083,活尸
String = 13084,妖龙
String = 13085,白熊
String = 13086,冰蚕
String = 13087,大蛇
String = 13088,大蜈蚣
String = 13089,预备01
String = 13090,预备02
String = 13091,预备03
String = 13092,预备04
String = 13093,预备05
String = 13094,预备06
String = 13095,预备07
String = 13096,预备08
String = 13097,预备09
String = 13098,预备10
String = 13099,玄武
String = 13100,朱雀
String = 13101,白虎
String = 13102,青龙
String = 13103,麒麟
String = 13104,尸鬼
String = 13105,炎兽
String = 13106,井阑
String = 13107,轒辒车
String = 13108,符兵
String = 13109,铁豹
String = 13110,机铁箭楼
String = 13111,铜人
String = 13112,元戎神弩
String = 13113,机铁火轮冲
String = 13114,机铁大将军
String = 13115,石墙
String = 13116,拒马
String = 13117,铁盾
String = 13118,龙牙车
String = 13119,九尾妖狐
String = 13120,巨木妖尸
String = 13121,钢牙巨虎
String = 13122,机铁异龙
String = 13123,机铁炎凰
String = 13124,机铁螭虎
String = 13125,机铁狻猊
String = 13126,机铁神鹰
String = 13127,烈焰火鬼
String = 13128,饕餮妖骸
String = 13129,幽冥鬼骑
String = 13130,魔灵刀兵
String = 13131,魔灵枪兵
String = 13132,冲城锤
String = 13133,铁轮车
String = 13134,战车
String = 13135,掷雷队
String = 13136,火铳队
String = 13137,炮车队
String = 13138,盾牌队
String = 13139,锹䦆队
String = 13140,截天弩
String = 13141,霹雳车
String = 13142,薄城墙
String = 13143,中城墙
String = 13144,厚城墙
String = 13145,铁甲城墙
String = 13146,弩箭楼
String = 13147,长弓楼
String = 13148,雷火台
String = 13149,飞石台
String = 13150,拒马枪
String = 13151,飞鹰
String = 13152,恶狼
String = 13153,狂牛
String = 13154,猛虎
String = 13155,花豹
String = 13156,大熊
String = 13157,式神童子
String = 13158,式神姬
String = 13159,犬神
String = 13160,木牛
String = 13161,流马
String = 13162,稻草妖兵
String = 13163,机铁兵
String = 13164,尸兵
String = 13165,隐忍
String = 13166,滚檑台
String = 13167,测试用陷阱
String = 13168,测试用传送点
String = 13169,赤焰阵
String = 13170,猛火阵
String = 13171,莲华落
String = 13172,浮雷落
String = 13173,金符锁
String = 13174,挪移法印
String = 13175,转位法印
String = 13176,错踪法印
String = 13177,生死门
String = 13178,奈落门
String = 13179,地矛阵
String = 13180,剑轮斩
String = 13500,士兵说明
String = 13501,轻步兵是战场的基本兵种，在对付弓兵、弩兵这类远距离攻击的兵种时，将可发挥最大的战力。不过步兵一旦遇上专克步兵的骑兵时，可就一筹莫展了。
String = 13502,重步兵是轻步兵的升级型，升级后不仅命中率上升。在战场上还有机会发动特殊的“突刺”攻击，同时杀伤前方一直线上最多两名敌军。
String = 13503,短弓兵是可以远距离抛射攻击的兵种，虽然命中率略为偏低，但超长的攻击距离足以弥补此一弱点。只要辅助以近战兵种作为弓兵队的屏障，弓兵就能发挥其最大价值。
String = 13504,长弓兵是短弓兵的升级，拥有更快的射速，射程也更远。在战场上有机会发射特殊的“火箭”，使中箭的敌军受到加倍的伤害。
String = 13505,短枪兵可视为拥有特殊装备的步兵，虽然战斗方面略逊于步兵，但能够有效克制骑兵类型的兵种。
String = 13506,长枪兵是短枪兵的升级，基本的能力完全相同，但拥有更高的命中率。在战场上还有少许机会发动特殊的“横扫”攻击，同时杀伤前方一排，最多三名敌军。
String = 13507,弩兵与弓兵同样是可进行远程攻击的兵种，但攻击方式不同于弓兵的抛射，而是水平射击的型态，同时可以贯穿最多一名敌军，但有我方士兵阻挡在前，弩兵便无法射击。
String = 13508,强弩兵是弩兵的升级，拥有更高的射速、射程。在战场上有机会发射强力的“透甲箭”，能够贯穿最多三名敌军。
String = 13509,轻骑兵是战场上的大型兵种，拥有相当高的移动力及耐久度，只要避开枪兵单位的威胁，骑兵的铁蹄将踏平战场的每寸泥土。
String = 13510,重骑兵是轻骑兵的升级，拥有更高的移动速度。在战场上还有机会施展“冲锋刺”的特殊攻击，同时杀伤前方一直线上，最多三名敌军。
String = 13511,蛮兵是南蛮特有的兵种，虽然属于步兵类型，但对上骑兵时依然毫不逊色，配备盾牌的蛮兵对弓箭也有一定程度的抵抗力，可是确无法应付贯穿力较强劲的弩兵箭矢。
String = 13512,藤甲兵是蛮兵的升级，基本的能力完全相同，但命中率更高。藤甲兵在受到敌军攻击时，有机会施展“防御”能力，不会受到任何的损伤。
String = 13513,女兵是移动速度仅次于骑兵的快速兵种，能够近距肉搏，也能以飞刀进行中距离攻击，攻击间隔过长是其惟一的缺点，尽量与敌人保持距离才能发挥女兵最大的战力。
String = 13514,近卫兵是女兵的升级，拥有更快的射速，射程也更远。在战场上有机会发射“三连刀”，同时杀伤最多三名敌军。
String = 13515,猛兽兵属于特化的骑兵兵种，在对上步兵时，可说是占尽优势，但猛兽兵的移动速度在骑兵类型中是略为偏低的，而且相当惧怕女兵的攻击，这点要特别留意。
String = 13516,象兵是猛兽兵的升级，虽然速度大幅下降，但拥有更高的防御力。在战场上有机会使出威力惊人的“重踏”攻击，能够无视防御，直接杀死面前敌兵。
String = 13517,忍者是倭国的特殊兵种，能力近似女兵，可以近战，也可以进行中距离攻击，虽然射程较女兵短，却拥有更高的移动速度。
String = 13518,隐忍是忍者的升级，射速更快，射程也更远。特殊的“隐身”能力，使敌军完全无法掌握行踪，只有在受到攻击后，才会现形。
String = 13519,弩车是非常少见的兵种，可以进行超长距离的远程攻击，虽然攻击间隔相当长，但射程是所有远程兵种中最远的。若有我方士兵阻挡在前，弩车便无法射击。
String = 13520,连弩车是弩车的升级，攻击间隔大幅缩短，还有机会发出强力的“穿岩箭”，能够贯穿最多五名敌军。
String = 13521,投石车是非常少见的兵种，攻击间隔是所有兵种里最长的，可以进行远程的抛射攻击，同时也是唯一普通攻击就能造成大范围伤害的远程兵种。
String = 13522,飞石车是投石车的升级兵种，具有较快的攻击速度，同时在战场上，有机会发射特殊的“炎弹”，不仅威力强大，落地后还能产生火焰，持续烧伤敌军。
String = 13523,黄巾兵是类似步兵的兵种，不过能力略为偏弱，黄巾兵最大的优势在于能够克制尸兵之类的特殊兵种。
String = 13524,黄巾长是黄巾兵的升级兵种，升级后拥有较高的命中率。在战场上有机会使出恐怖的“血刃”，吸取敌军生命为己用，具有很高的续战力。
String = 13525,匈奴兵是匈奴族特有的兵种，虽然战力略低于一般骑兵，但对弓兵、弩兵、蛮兵有较高的抵抗力，同时速度也略高于一般骑兵。
String = 13526,游骑兵是匈奴兵的升级，拥有更高的移动速度。游骑兵特殊的“快斩”攻击，虽然施展的机会略低，却有同时最多伤害四名敌兵的强大威力。
String = 13527,浪人是倭国的特殊步兵，有高于一般步兵的攻击力，但移动速度却相当的慢。
String = 13528,武士是浪人的升级，拥有较高的命中率。在战场上还有机会使出特殊的“牙岚”，同时杀伤前方一直线上最多三名敌军。
String = 13529,尸兵是极为特殊的步兵，移动速度是所有兵种中最慢的，但是防御力居步兵之首。
String = 13530,尸魔是尸兵的升级，移动速度略有上升。尸魔每杀死一名敌兵，就有机会施展让人胆寒的“妖魇”能力，使敌兵骸骨化为尸兵，为我军效力。
String = 13531,木人是极度稀有的机关兵种，移动速度偏慢，但拥有相当高的耐久力，同时能够进行短距离的范围攻击。
String = 13532,铁人是木人的升级，也是耐久力最高的兵种，铁人能够进行中距离的范围攻击，破坏力惊人，甚至在死亡时，还有少许机会发动“自爆”，同时伤害周围最多十名敌军。
String = 13533,刀车兵是匈奴特有的兵种，移动缓慢，攻击、攻速也略为偏低，但是却具有足以匹敌木人的高防御力，只有在对上骑兵、木槌兵等兵种时才会显得略为吃力。
String = 13534,铁车兵是刀车兵的升级，除了防御力上升外，还有少许机会施展“冲撞”绝招，同时杀伤前方最多六名敌军。
String = 13535,剑兵是灵活的轻装兵种，拥有不逊骑兵的移动速度，以及所有士兵中最快的攻击速度，，最大的弱点在于难以抵挡远程攻击。
String = 13536,剑卫是剑兵的升级，不只攻速、攻击力略有上升，在战场上还有机会使出强力的“剑芒”攻击，能够同时杀伤前方最多三名敌军。
String = 13537,木锤兵是移动缓慢的兵种，拥有直逼铁人的高攻击力，但移动及攻击速度略为缓慢，由于特殊的大木槌装备，木槌兵对城墙、守城军械有特别高的命中率。
String = 13538,铁锤兵是木槌兵的升级，也是攻击力最高的兵种。在战场上有少许机会使出“震地”攻击，同时杀伤周围最多八名敌军。铁槌兵同样对城墙、守城军械有特别高的命中率。
String = 13539,链球兵是匈奴族特有的兵种，虽然攻速略逊于一般步兵，但具有较快的移动速度，由于装备了特殊的链球武器，链球兵对城墙、守城军械有特别高的命中率。
String = 13540,钢球兵是链球兵的升级，攻速及移动速度方面都有少许上升。在战场上有少许机会使出“大回旋”攻击，同时杀伤周围最多八名敌军。
String = 13541,水兵是极为特殊的兵种，基本能力接近一般步兵，但与其他兵种间没有明显的相克关系，命中率较为稳定。
String = 13542,鳞甲水兵是水兵的升级，基本能力并不突出，但在水面地形出战时，便能发挥特殊能力-“水战”，使防御力、攻击力、命中率、移动速度都会有大幅度的提升。
String = 13553,山贼中最普遍的兵种，能力近似轻步兵
String = 13554,山贼中用的兵种，能力近似短枪兵
String = 13555,山贼中用的兵种，能力近似短弓兵
String = 13556,海贼中最普遍的兵种，能力近似轻步兵
String = 13557,海贼中用的兵种，能力近似短枪兵
String = 13558,海贼中用的兵种，能力近似女兵
String = 13559,古代战死沙场的刀兵，冤魂不散形成的兵种
String = 13560,古代战死沙场的枪兵，冤魂不散形成的兵种
String = 13561,欺压善良的市井无赖，能力近似轻步兵
String = 13562,出没于沙漠的拦路盗匪，能力近似轻步兵
String = 13563,持刀行劫的贼人，能力近似剑兵
String = 13564,身手敏捷的女贼人，能力近似轻步兵
String = 13565,来自西域的大力士，能力近似木槌兵
String = 13576,凶猛的野兽
String = 13577,凶猛的野兽
String = 13578,凶猛的野兽
String = 13579,凶猛的野兽
String = 13580,凶残的乱世妖魔
String = 13581,凶残的乱世妖魔
String = 13582,剧毒的爬虫
String = 13583,凶残的乱世妖魔
String = 13584,剧毒的爬虫
String = 13585,凶猛的野兽
String = 13586,剧毒的爬虫
String = 13587,剧毒的爬虫
String = 13588,凶残的乱世妖魔
String = 13610,最坚固的守城军械，能抛射箭雨。具有极远射程和极快射速，最大的缺点在于无法射击太过靠近的敌军。
String = 13612,最坚固的守城军械，能以箭雨攻击靠近得敌军。射速中等，最大的缺点在于射程不长。
String = 13646,防御力一般的守城军械，能以箭矢射杀敌军。射程较远，但攻击速度较慢。
String = 13647,防御力一般的守城军械，能以箭矢射杀敌军。射程较近，但攻击速度较快。
String = 13648,相当坚固的守城军械，能抛掷雷火弹造成小范围伤害。射程不长，攻击速度一般。
String = 13649,相当坚固的守城军械，能抛掷巨石造成大范围伤害。射程不长，攻击速度较慢。
String = 13650,最普通的简陋守城军械，能杀伤近身敌军。
String = 13666,相当坚固的守城军械，可以降下蒺藜木檑杀伤大批敌军。只能攻击近身敌军，攻击速度一般。
String = 14000,物品名称
String = 14001,木铜铃
String = 14002,尸兵符印
String = 14003,秘忍卷轴
String = 14004,将军印盒
String = 14005,刀车兵符
String = 14006,链球兵符
String = 14007,剑兵兵符
String = 14008,木槌兵符
String = 14009,水兵兵符
String = 14010,匈奴号角
String = 14011,黄巾兵符
String = 14012,投石兵符
String = 14013,弩车兵符
String = 14014,兽兵兵符
String = 14015,女兵兵符
String = 14016,蛮兵兵符
String = 14017,骑兵兵符
String = 14018,弩兵兵符
String = 14019,枪兵兵符
String = 14020,弓兵兵符
String = 14021,步兵兵符
String = 14022,箭矢阵法书
String = 14023,天地阵法书
String = 14024,翔鹰阵法书
String = 14025,雁形阵法书
String = 14026,锥形阵法书
String = 14027,钩形阵法书
String = 14028,圆形阵法书
String = 14029,方形阵法书
String = 14030,珠宝
String = 14031,黄金
String = 14032,美女
String = 14033,玉器
String = 14034,绸缎
String = 14035,布匹
String = 14036,灵山妙药
String = 14037,九牛二虎丸
String = 14038,雪山灵芝
String = 14039,灵芝
String = 14040,长白人参
String = 14041,人参
String = 14042,干将莫邪
String = 14043,草薙
String = 14044,冰凰炎凤
String = 14045,仁义无双
String = 14046,寒铁双股剑
String = 14047,巨阙剑
String = 14048,魑魅魍魉
String = 14049,逆天剑
String = 14050,倚天剑
String = 14051,虎牙剑
String = 14052,皇天怒
String = 14053,飞星
String = 14054,流采
String = 14055,华铤
String = 14056,不知火
String = 14057,七星刀
String = 14058,方土
String = 14059,东极
String = 14060,破山剑
String = 14061,青釭剑
String = 14062,白虹
String = 14063,紫电
String = 14064,辟邪
String = 14065,流星
String = 14066,青冥
String = 14067,百里
String = 14068,村正
String = 14069,古锭刀
String = 14070,流光
String = 14071,双股剑
String = 14072,太一
String = 14073,凄然
String = 14074,倭刀
String = 14075,风云斩
String = 14076,龙渊剑
String = 14077,龟纹
String = 14078,火精
String = 14079,弧月刀
String = 14080,连环刀
String = 14081,蛮刀
String = 14082,思召
String = 14083,苗刀
String = 14084,宽刃剑
String = 14085,吴钩
String = 14086,短刀
String = 14087,桃木剑
String = 14088,青铜剑
String = 14089,朴刀
String = 14090,直剑
String = 14091,真火朱雀扇
String = 14092,朱雀扇
String = 14093,玄冥法扇
String = 14094,金羽扇
String = 14095,驭风剑翎扇
String = 14096,火焰扇
String = 14097,天罡劈水扇
String = 14098,彩霓扇
String = 14099,孔雀扇
String = 14100,鹏羽扇
String = 14101,黯羽扇
String = 14102,鹤羽扇
String = 14103,蝉翼扇
String = 14104,苍羽扇
String = 14105,青羽扇
String = 14106,钢刃扇
String = 14107,铁骨折扇
String = 14108,白绢折扇
String = 14109,青竹扇
String = 14110,白羽扇
String = 14111,翔龙偃月刀
String = 14112,青龙偃月刀
String = 14113,雷公鞭
String = 14114,虎贲大刀
String = 14115,日月双锤
String = 14116,鳌头两刃斧
String = 14117,战国大刀
String = 14118,春秋大刀
String = 14119,混沌双斧
String = 14120,天罡斧
String = 14121,混沌开天刀
String = 14122,三环大刀
String = 14123,波母
String = 14124,南极
String = 14125,编驹
String = 14126,西域镰刀
String = 14127,铁蒺藜骨朵
String = 14128,车轮斧
String = 14129,玄铁碎棍
String = 14130,鬼头大刀
String = 14131,枣阳锤
String = 14132,云月刀
String = 14133,两刃斧
String = 14134,鬼刃刀
String = 14135,金瓜锤
String = 14136,二郎刀
String = 14137,三尖刀
String = 14138,破阵刀
String = 14139,双手斧
String = 14140,双铁钩
String = 14141,掉刀
String = 14142,青铜鞭
String = 14143,狼牙棒
String = 14144,掩月刀
String = 14145,月牙铲
String = 14146,斩马刀
String = 14147,凤绫锤
String = 14148,象鼻刀
String = 14149,流星锤
String = 14150,钩镰刀
String = 14151,凤嘴刀
String = 14152,碎锤
String = 14153,大斧
String = 14154,屈刀
String = 14155,眉尖刀
String = 14156,铜长刀
String = 14157,神鬼方天戟
String = 14158,方天画戟
String = 14159,万胜丈八矛
String = 14160,丈八蛇矛
String = 14161,九天龙魂贯
String = 14162,龙胆枪
String = 14163,霸王凤凰枪
String = 14164,凤凰枪
String = 14165,虎贲方天戟
String = 14166,神龙戈
String = 14167,破军蒺藜枪
String = 14168,青天钩镰枪
String = 14169,西极
String = 14170,不周
String = 14171,龙髓枪
String = 14172,应龙戟
String = 14173,紫龙戟
String = 14174,斩马钩镰枪
String = 14175,焰火尖枪
String = 14176,拐刃蒺藜枪
String = 14177,双刃月牙戟
String = 14178,龙角叉
String = 14179,铁脊蛇矛
String = 14180,蛇矛
String = 14181,凤钺戟
String = 14182,长铩
String = 14183,铁钺戟
String = 14184,白玉戟
String = 14185,十字枪
String = 14186,斧刃枪
String = 14187,钩鎌枪
String = 14188,九凤镋
String = 14189,拐突枪
String = 14190,梨花枪
String = 14191,透甲枪
String = 14192,月牙戟
String = 14193,雁翎枪
String = 14194,龙刀枪
String = 14195,九曲戟
String = 14196,双叉矛
String = 14197,三叉戟
String = 14198,两刃叉
String = 14199,红樱枪
String = 14200,马叉
String = 14201,尖枪
String = 14202,铜殳
String = 14203,钢矛
String = 14204,短锥枪
String = 14205,万里起云烟
String = 14206,机铁连环弓
String = 14207,北极
String = 14208,追魂弓
String = 14209,爆炎弓
String = 14210,神鸢弓
String = 14211,百里弓
String = 14212,破甲弓
String = 14213,克敌弓
String = 14214,迅雷弓
String = 14215,白金弓
String = 14216,神臂弓
String = 14217,白桦弓
String = 14218,破邪弓
String = 14219,钢弓
String = 14220,穿云弓
String = 14221,檀弓
String = 14222,长弓
String = 14223,短弓
String = 14224,UJ大鸡腿
String = 14225,幼麒麟
String = 14226,黑麒麟
String = 14227,火麒麟
String = 14228,白玉麒麟
String = 14229,天马
String = 14230,龙马
String = 14231,四不像
String = 14232,穷奇
String = 14233,飞鎌
String = 14234,追风白凰
String = 14235,紫金赤兔马
String = 14236,赤兔马
String = 14237,卷毛赤兔马
String = 14238,绝影
String = 14239,爪黄飞电
String = 14240,骷髅马
String = 14241,钢甲战马
String = 14242,冲角巨牛
String = 14243,松风
String = 14244,重甲黑豹
String = 14245,重甲战虎
String = 14246,燎原火
String = 14247,冲城巨象
String = 14248,的卢
String = 14249,印度白象
String = 14250,藤甲巨象
String = 14251,印度神象
String = 14252,藤甲战牛
String = 14253,青牛
String = 14254,铁甲骆驼
String = 14255,铁甲战马
String = 14256,铁骑马
String = 14257,黑豹
String = 14258,战虎
String = 14259,紫骍
String = 14260,汗血马
String = 14261,云鬃马
String = 14262,大宛马
String = 14263,白鹤
String = 14264,白石
String = 14265,沙里飞
String = 14266,惊帆
String = 14267,骆驼
String = 14268,赤毛牛
String = 14269,南蛮象
String = 14270,黑鬃马
String = 14271,褐鬃马
String = 14272,黄鬃马
String = 14273,云01
String = 14274,云02
String = 14275,云03
String = 14276,轻骑兵马
String = 14277,重骑兵马
String = 14278,猛兽兵
String = 14279,象兵
String = 14280,匈奴兵
String = 14281,铁骑兵
String = 14282,战车马
String = 14283,小黄鬃马
String = 14284,骷髅马
String = 14285,西蜀地形图
String = 14286,幻世录II
String = 14287,幻世录
String = 14288,兵书24篇
String = 14289,孟德新书
String = 14290,史记
String = 14291,春秋左传
String = 14292,赤焰术诀
String = 14293,赤焰秘法书
String = 14294,连弩兵法
String = 14295,连弩秘诀书
String = 14296,火箭兵法
String = 14297,火箭秘诀书
String = 14298,龙炮兵法
String = 14299,龙炮秘诀书
String = 14300,炬石兵法
String = 14301,炬石秘诀书
String = 14302,火轮兵法
String = 14303,火轮秘诀书
String = 14304,滚石兵法
String = 14305,滚石秘诀书
String = 14306,地泉术诀
String = 14307,地泉秘法书
String = 14308,地茅兵法
String = 14309,地茅秘诀书
String = 14310,突石术诀
String = 14311,突石秘法书
String = 14312,火药袋
String = 14313,火药桶
String = 14314,烈火符
String = 14315,爆炎符
String = 14316,太极印
String = 14317,太极符印
String = 14318,八卦术诀
String = 14319,八卦秘法书
String = 14320,雷击术诀
String = 14321,雷击秘法书
String = 14322,五雷术诀
String = 14323,狂雷秘法书
String = 14324,伏兵兵法
String = 14325,伏兵秘诀书
String = 14326,后伏兵法
String = 14327,后伏秘诀书
String = 14328,轒辒兵法
String = 14329,轒辒秘诀书
String = 14330,旋灯术诀
String = 14331,旋灯秘法书
String = 14332,莲华术诀
String = 14333,莲华秘法书
String = 14334,旋风术诀
String = 14335,龙卷秘法书
String = 14336,突击战鼓
String = 14337,背水战鼓
String = 14338,火牛兵法
String = 14339,火牛秘诀书
String = 14340,冲车
String = 14341,攻城战车
String = 14342,召鬼石
String = 14343,唤魂法珠
String = 14344,炎兽像
String = 14345,喷火龙车
String = 14346,驱豹兵法
String = 14347,驱豹秘诀书
String = 14348,神鸢兵法
String = 14349,神鸢秘诀书
String = 14350,井阑
String = 14351,攻城塔
String = 14352,时空宝珠
String = 14353,黄泉玉
